"2nd-generation EGFR TKIs + HMGCR inhibitor",".","0.29 (0.01 to   7.32)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.78 (0.01 to   76.19)","1st-generation EGFR TKIs + COX2 inhibitor",".",".",".",".",".","0.32 (0.01 to   8.06)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.29 (0.01 to    7.32)","0.37 (0.01 to    9.52)","2nd-generation EGFR TKIs",".","1.02 (0.43 to   2.40)",".",".","0.90 (0.57 to   1.42)","0.98 (0.10 to   9.58)","0.37 (0.08 to   1.74)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.29 (0.01 to    7.88)","0.37 (0.01 to    9.76)","1.00 (0.49 to    2.03)","1st-generation EGFR TKIs + MET inhibitor",".",".",".","0.87 (0.48 to   1.57)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.27 (0.01 to    7.18)","0.35 (0.01 to    9.02)","0.94 (0.55 to    1.61)","0.94 (0.44 to    2.00)","Placebo",".",".","0.80 (0.43 to   1.51)",".",".",".",".",".",".",".",".",".","0.82 (0.35 to   1.92)",".",".",".",".",".",".",".",".","."
"0.54 (0.00 to  102.41)","0.69 (0.00 to  128.65)","1.86 (0.03 to  116.77)","1.87 (0.03 to  119.90)","1.98 (0.03 to  125.20)","1st-generation EGFR TKIs + HGF inhibitor",".","0.47 (0.01 to  28.73)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.31 (0.01 to   10.93)","0.40 (0.01 to   13.57)","1.08 (0.25 to    4.75)","1.09 (0.23 to    5.08)","1.15 (0.26 to    5.16)","0.58 (0.01 to   45.50)","DHFR inhibitor","0.80 (0.19 to   3.34)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.25 (0.01 to    6.51)","0.32 (0.01 to    8.06)","0.87 (0.58 to    1.29)","0.87 (0.48 to    1.57)","0.92 (0.58 to    1.47)","0.47 (0.01 to   28.73)","0.80 (0.19 to    3.34)","1st-generation EGFR TKIs",".","0.92 (0.54 to   1.56)","1.00 (0.02 to  51.69)","0.99 (0.02 to  50.39)","0.84 (0.53 to   1.33)","0.74 (0.30 to   1.85)","0.68 (0.13 to   3.65)",".","0.63 (0.28 to   1.42)","0.56 (0.31 to   1.01)",".",".","0.45 (0.11 to   1.84)","0.33 (0.01 to   8.20)","0.41 (0.12 to   1.43)",".","0.24 (0.11 to   0.52)",".","0.10 (0.01 to   1.96)"
"0.28 (0.01 to   14.74)","0.36 (0.01 to   19.13)","0.98 (0.10 to    9.58)","0.98 (0.09 to   10.72)","1.04 (0.10 to   10.85)","0.52 (0.00 to   59.30)","0.90 (0.06 to   13.71)","1.12 (0.11 to   11.42)","2nd-generation EGFR TKIs + Cetuximab",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.22 (0.01 to    5.83)","0.28 (0.01 to    7.25)","0.76 (0.42 to    1.36)","0.76 (0.36 to    1.61)","0.80 (0.42 to    1.53)","0.41 (0.01 to   25.67)","0.70 (0.16 to    3.13)","0.87 (0.54 to    1.39)","0.77 (0.07 to    8.18)","Chemotherapy",".",".",".",".",".",".","0.97 (0.16 to   5.79)","0.59 (0.14 to   2.47)",".",".",".",".",".",".",".",".","."
"0.25 (0.00 to   41.72)","0.32 (0.00 to   52.37)","0.87 (0.02 to   45.79)","0.87 (0.02 to   47.06)","0.92 (0.02 to   49.11)","0.47 (0.00 to  140.10)","0.80 (0.01 to   53.24)","1.00 (0.02 to   51.69)","0.89 (0.01 to   86.36)","1.15 (0.02 to   61.12)","1st-generation EGFR TKIs + Autophagy inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.25 (0.00 to   40.80)","0.32 (0.00 to   51.22)","0.86 (0.02 to   44.64)","0.86 (0.02 to   45.88)","0.91 (0.02 to   47.88)","0.46 (0.00 to  137.19)","0.79 (0.01 to   51.94)","0.99 (0.02 to   50.39)","0.88 (0.01 to   84.35)","1.14 (0.02 to   59.58)","0.99 (0.00 to  259.39)","1st-generation EGFR TKIs + ER inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
