"Erlotinib + MMP inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","9.65 (0.51 to 182.48)",".",".",".",".",".",".",".","."
"2.35 (0.11 to    48.92)","Antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","1.02 (0.02 to  52.21)",".","4.33 (1.99 to   9.45)",".",".",".",".",".",".",".","."
"1.29 (0.02 to    88.36)","0.55 (0.02 to    12.55)","Icotinib",".","1.01 (0.02 to  51.23)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","7.07 (0.36 to 137.79)",".",".",".",".",".",".",".",".",".","."
"2.27 (0.08 to    66.55)","0.97 (0.15 to     6.03)","1.76 (0.06 to    53.76)","Osimertinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","3.46 (0.80 to  14.92)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.30 (0.00 to   417.04)","0.55 (0.00 to    84.01)","1.01 (0.02 to    51.23)","0.57 (0.00 to   104.58)","Befotertinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3.72 (0.15 to    90.80)","1.59 (0.37 to     6.84)","2.89 (0.11 to    73.51)","1.64 (0.29 to     9.41)","2.86 (0.02 to   463.13)","Osimertinib + chemotherapy",".",".",".",".",".",".",".",".",".",".",".",".",".",".","2.11 (0.81 to   5.49)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4.06 (0.14 to   117.70)","1.73 (0.28 to    10.50)","3.15 (0.11 to    88.13)","1.79 (0.19 to    17.27)","3.12 (0.02 to   536.62)","1.09 (0.15 to     7.89)","Almonertinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","2.24 (0.50 to  10.12)",".",".",".",".",".",".",".",".",".","."
"3.00 (0.04 to   245.32)","1.28 (0.04 to    36.91)","2.33 (0.03 to   185.34)","1.32 (0.04 to    50.03)","2.31 (0.01 to   823.67)","0.81 (0.03 to    25.65)","0.74 (0.02 to    25.72)","Gefitinib + PARP inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","3.03 (0.12 to  75.44)",".",".",".",".",".",".",".",".",".","."
"4.35 (0.17 to   113.26)","1.85 (0.37 to     9.21)","3.38 (0.12 to    96.47)","1.92 (0.22 to    17.03)","3.34 (0.02 to   582.98)","1.17 (0.18 to     7.68)","1.07 (0.12 to     9.33)","1.45 (0.04 to    51.47)","Erlotinib + HER3 inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","2.22 (0.54 to   9.09)",".",".",".",".",".",".",".","."
"5.58 (0.25 to   125.67)","2.38 (0.66 to     8.52)","4.34 (0.19 to   101.14)","2.46 (0.49 to    12.45)","4.29 (0.03 to   657.71)","1.50 (0.46 to     4.91)","1.38 (0.22 to     8.62)","1.86 (0.06 to    54.67)","1.28 (0.22 to     7.35)","Lazertinib + Amivantamab","1.11 (0.48 to   2.54)",".",".",".",".",".",".",".",".",".","1.41 (0.69 to   2.88)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
