"Gefitinib/Erlotinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0.47 (0.19 to   1.15)",".",".",".","0.41 (0.12 to   1.43)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.99 (0.06 to    63.87)","Afatinib + HMGCR inhibitor",".",".",".",".",".",".",".","0.29 (0.01 to   7.32)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.86 (0.23 to     3.20)","0.43 (0.02 to    12.16)","Dacomitinib",".","0.41 (0.12 to   1.42)",".",".",".","0.81 (0.38 to   1.70)",".","0.99 (0.10 to   9.56)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.81 (0.06 to    56.44)","0.91 (0.01 to    90.48)","2.10 (0.08 to    56.02)","Erlotinib + COX2 inhibitor",".",".",".",".","0.32 (0.01 to   8.06)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.67 (0.22 to     2.09)","0.34 (0.01 to     9.14)","0.78 (0.38 to     1.61)","0.37 (0.01 to     9.72)","Placebo",".",".",".","0.72 (0.34 to   1.54)","0.44 (0.14 to   1.42)","1.02 (0.33 to   3.21)",".",".",".",".",".",".","0.82 (0.35 to   1.92)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.25 (0.02 to    91.07)","0.63 (0.00 to   121.39)","1.44 (0.02 to    93.29)","0.69 (0.00 to   128.65)","1.86 (0.03 to   118.29)","Erlotinib + HGF inhibitor",".",".","0.47 (0.01 to  28.73)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.67 (0.18 to     2.54)","0.34 (0.01 to     9.41)","0.77 (0.32 to     1.84)","0.37 (0.01 to     9.76)","0.99 (0.45 to     2.21)","0.54 (0.01 to    34.40)","Erlotinib + MET inhibitor",".","0.87 (0.48 to   1.57)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.73 (0.11 to     4.67)","0.36 (0.01 to    13.03)","0.84 (0.18 to     3.99)","0.40 (0.01 to    13.57)","1.08 (0.24 to     4.95)","0.58 (0.01 to    45.50)","1.09 (0.23 to     5.08)","DHFR inhibitor","0.80 (0.19 to   3.34)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.58 (0.18 to     1.93)","0.29 (0.01 to     7.77)","0.67 (0.36 to     1.27)","0.32 (0.01 to     8.06)","0.87 (0.51 to     1.48)","0.47 (0.01 to    28.73)","0.87 (0.48 to     1.57)","0.80 (0.19 to     3.34)","Erlotinib","1.06 (0.53 to   2.10)","1.18 (0.02 to  60.23)",".","1.14 (0.02 to  57.91)","1.00 (0.02 to  51.69)","0.84 (0.44 to   1.60)","1.01 (0.02 to  51.54)","0.84 (0.52 to   1.34)",".",".",".","0.74 (0.30 to   1.85)",".","0.68 (0.13 to   3.65)",".","0.62 (0.23 to   1.65)",".",".",".",".","0.45 (0.11 to   1.84)",".",".",".",".",".",".","0.23 (0.11 to   0.50)","0.10 (0.01 to   1.96)"
"0.57 (0.16 to     2.00)","0.29 (0.01 to     7.32)","0.66 (0.30 to     1.47)","0.32 (0.01 to     8.30)","0.85 (0.45 to     1.62)","0.46 (0.01 to    29.29)","0.86 (0.39 to     1.91)","0.79 (0.17 to     3.63)","0.98 (0.57 to     1.69)","Afatinib","0.99 (0.33 to   3.01)","0.98 (0.10 to   9.58)",".",".","0.37 (0.08 to   1.74)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
