"Erlotinib + Ramucirumab",".",".",".",".",".","13.60 (0.76 to 242.94)",".",".",".",".","."
"3.27 (0.16 to   65.20)","Vandetanib",".",".",".",".","4.16 (1.86 to   9.33)",".",".",".",".","."
"1.80 (0.03 to  115.02)","0.55 (0.02 to   12.26)","Cabozantinib",".",".",".","7.56 (0.38 to 151.28)",".",".",".",".","."
"3.67 (0.11 to  118.37)","1.12 (0.14 to    9.17)","2.04 (0.06 to   72.34)","Osimertinib + Bevacizumab",".",".",".",".","4.20 (0.87 to  20.25)",".",".","."
"8.28 (0.34 to  203.40)","2.53 (0.51 to   12.67)","4.60 (0.17 to  125.28)","2.26 (0.27 to   19.13)","Afatinib",".",".",".",".",".","2.27 (0.70 to   7.34)","."
"9.42 (0.47 to  187.12)","2.88 (0.93 to    8.92)","5.24 (0.24 to  116.07)","2.57 (0.32 to   20.84)","1.14 (0.23 to    5.65)","Erlotinib + Sunitinib","1.44 (0.66 to   3.18)",".",".",".",".","."
"13.60 (0.76 to  242.94)","4.16 (1.86 to    9.33)","7.56 (0.38 to  151.28)","3.71 (0.53 to   25.78)","1.64 (0.41 to    6.62)","1.44 (0.66 to    3.18)","Erlotinib","1.00 (0.54 to   1.85)",".",".","1.38 (0.65 to   2.93)","."
"13.62 (0.71 to  259.33)","4.17 (1.51 to   11.47)","7.57 (0.36 to  161.11)","3.71 (0.49 to   28.36)","1.64 (0.36 to    7.54)","1.45 (0.53 to    3.93)","1.00 (0.54 to    1.85)","Erlotinib + Bevacizumab",".",".",".","."
"15.41 (0.70 to  341.35)","4.72 (1.17 to   18.97)","8.57 (0.35 to  210.95)","4.20 (0.87 to   20.25)","1.86 (0.44 to    7.92)","1.64 (0.41 to    6.52)","1.13 (0.36 to    3.52)","1.13 (0.31 to    4.11)","Osimertinib",".","1.22 (0.52 to   2.85)","."
"19.27 (0.78 to  477.33)","5.90 (1.16 to   29.98)","10.71 (0.39 to  293.93)","5.25 (0.61 to   45.08)","2.33 (0.44 to   12.42)","2.04 (0.41 to   10.31)","1.42 (0.34 to    5.81)","1.41 (0.30 to    6.60)","1.25 (0.29 to    5.41)","Gefitinib","0.98 (0.30 to   3.22)","."
"18.79 (0.96 to  369.63)","5.75 (1.91 to   17.33)","10.44 (0.48 to  229.36)","5.12 (0.86 to   30.59)","2.27 (0.70 to    7.34)","1.99 (0.67 to    5.94)","1.38 (0.65 to    2.93)","1.38 (0.52 to    3.64)","1.22 (0.52 to    2.85)","0.98 (0.30 to    3.22)","Placebo","2.47 (0.70 to   8.66)"
"46.38 (1.83 to 1175.77)","14.19 (2.67 to   75.49)","25.77 (0.92 to  723.50)","12.64 (1.42 to  112.29)","5.60 (1.01 to   31.23)","4.92 (0.93 to   25.98)","3.41 (0.79 to   14.74)","3.41 (0.70 to   16.65)","3.01 (0.66 to   13.70)","2.41 (0.43 to   13.63)","2.47 (0.70 to    8.66)","Dacomitinib"
