"Dacomitinib","0.41 (0.12 to   1.42)",".",".",".",".",".",".",".",".",".","."
"0.41 (0.12 to    1.42)","Placebo","1.03 (0.31 to   3.39)","0.82 (0.35 to   1.92)",".","0.72 (0.34 to   1.54)",".","0.44 (0.14 to   1.42)",".",".",".","."
"0.42 (0.07 to    2.35)","1.03 (0.31 to    3.39)","Gefitinib",".",".",".",".",".",".",".",".","."
"0.33 (0.07 to    1.51)","0.82 (0.35 to    1.92)","0.80 (0.18 to    3.47)","Osimertinib",".",".",".",".","0.24 (0.05 to   1.15)",".",".","."
"0.29 (0.06 to    1.43)","0.72 (0.27 to    1.91)","0.71 (0.15 to    3.29)","0.88 (0.24 to    3.21)","Erlotinib + Bevacizumab","1.00 (0.54 to   1.84)",".",".",".",".",".","."
"0.29 (0.07 to    1.27)","0.72 (0.34 to    1.54)","0.71 (0.17 to    2.90)","0.88 (0.28 to    2.74)","1.00 (0.54 to    1.84)","Erlotinib","0.69 (0.31 to   1.53)",".",".","0.13 (0.01 to   2.65)","0.24 (0.11 to   0.54)","0.07 (0.00 to   1.31)"
"0.20 (0.04 to    1.07)","0.50 (0.17 to    1.49)","0.49 (0.10 to    2.47)","0.61 (0.15 to    2.43)","0.69 (0.25 to    1.88)","0.69 (0.31 to    1.53)","Erlotinib + Sunitinib",".",".",".",".","."
"0.18 (0.03 to    0.99)","0.44 (0.14 to    1.42)","0.43 (0.08 to    2.29)","0.54 (0.13 to    2.28)","0.61 (0.13 to    2.79)","0.61 (0.15 to    2.45)","0.88 (0.18 to    4.36)","Afatinib",".",".",".","."
"0.08 (0.01 to    0.70)","0.20 (0.03 to    1.17)","0.19 (0.02 to    1.63)","0.24 (0.05 to    1.15)","0.27 (0.04 to    2.06)","0.27 (0.04 to    1.87)","0.39 (0.05 to    3.16)","0.44 (0.05 to    3.76)","Osimertinib + Bevacizumab",".",".","."
"0.04 (0.00 to    1.09)","0.10 (0.00 to    2.10)","0.09 (0.00 to    2.56)","0.12 (0.00 to    2.87)","0.13 (0.01 to    2.81)","0.13 (0.01 to    2.65)","0.19 (0.01 to    4.23)","0.22 (0.01 to    5.92)","0.49 (0.01 to   17.40)","Cabozantinib",".","."
"0.07 (0.01 to    0.37)","0.17 (0.06 to    0.52)","0.17 (0.03 to    0.86)","0.21 (0.05 to    0.85)","0.24 (0.09 to    0.66)","0.24 (0.11 to    0.54)","0.35 (0.11 to    1.07)","0.39 (0.08 to    1.98)","0.89 (0.11 to    7.28)","1.82 (0.08 to   40.44)","Vandetanib","."
"0.02 (0.00 to    0.55)","0.05 (0.00 to    1.05)","0.05 (0.00 to    1.29)","0.06 (0.00 to    1.44)","0.07 (0.00 to    1.40)","0.07 (0.00 to    1.31)","0.11 (0.01 to    2.11)","0.12 (0.00 to    2.97)","0.27 (0.01 to    8.79)","0.56 (0.01 to   35.53)","0.31 (0.02 to    6.10)","Erlotinib + Ramucirumab"
