"Erlotinib + MMP inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","9.65 (0.51 to 182.48)",".",".",".",".",".",".","."
"2.23 (0.11 to   46.60)","Antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","4.33 (1.99 to   9.45)",".",".",".",".",".",".","."
"1.89 (0.06 to   58.52)","0.85 (0.12 to    5.88)","Osimertinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".","4.20 (0.87 to  20.25)",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.33 (0.02 to   91.70)","0.60 (0.03 to   13.87)","0.70 (0.02 to   22.56)","Icotinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".","7.07 (0.36 to 137.79)",".",".",".",".",".",".",".",".","."
"3.42 (0.14 to   85.20)","1.54 (0.34 to    7.00)","1.81 (0.28 to   11.76)","2.58 (0.10 to   67.12)","Osimertinib + chemotherapy",".",".",".",".",".",".",".",".",".","2.32 (0.84 to   6.43)",".",".",".",".",".",".",".",".",".",".",".",".","."
"3.81 (0.11 to  137.50)","1.71 (0.19 to   15.38)","2.01 (0.14 to   28.18)","2.88 (0.08 to   99.30)","1.11 (0.11 to   11.68)","Gefitinib + chemotherapy",".",".",".",".",".",".",".",".",".",".",".",".","2.46 (0.36 to  16.94)",".",".",".",".",".",".",".",".","."
"4.18 (0.14 to  122.36)","1.88 (0.30 to   11.75)","2.21 (0.21 to   23.09)","3.15 (0.11 to   88.13)","1.22 (0.16 to    9.19)","1.10 (0.09 to   12.70)","Almonertinib",".",".",".",".",".",".",".",".",".",".",".","2.24 (0.50 to  10.12)",".",".",".",".",".",".",".",".","."
"3.09 (0.04 to  254.55)","1.39 (0.05 to   40.76)","1.63 (0.04 to   64.93)","2.33 (0.03 to  185.34)","0.90 (0.03 to   29.38)","0.81 (0.02 to   34.43)","0.74 (0.02 to   25.72)","Gefitinib + PARP inhibitor",".",".",".",".",".",".",".",".",".",".","3.03 (0.12 to  75.44)",".",".",".",".",".",".",".",".","."
"5.67 (0.25 to  127.82)","2.55 (0.70 to    9.28)","2.99 (0.53 to   16.74)","4.27 (0.18 to  100.04)","1.66 (0.48 to    5.69)","1.49 (0.16 to   13.44)","1.35 (0.21 to    8.55)","1.83 (0.06 to   54.06)","Lazertinib + Amivantamab","1.11 (0.48 to   2.54)",".",".",".",".","1.41 (0.69 to   2.88)",".",".",".",".",".",".",".",".",".",".",".",".","."
"6.33 (0.28 to  143.13)","2.84 (0.78 to   10.42)","3.34 (0.57 to   19.48)","4.77 (0.21 to  110.59)","1.85 (0.51 to    6.73)","1.66 (0.19 to   14.79)","1.51 (0.24 to    9.38)","2.05 (0.07 to   59.80)","1.12 (0.50 to    2.48)","Lazertinib",".",".",".",".","1.27 (0.53 to   3.05)",".",".",".","1.41 (0.28 to   7.26)",".",".",".",".",".",".",".",".","."
"6.74 (0.31 to  145.45)","3.03 (0.93 to    9.89)","3.56 (0.50 to   25.42)","5.08 (0.21 to  120.67)","1.97 (0.41 to    9.35)","1.77 (0.19 to   16.31)","1.61 (0.25 to   10.42)","2.18 (0.07 to   65.14)","1.19 (0.31 to    4.56)","1.06 (0.28 to    4.09)","Erlotinib + chemotherapy",".",".",".",".","1.03 (0.17 to   6.09)",".",".",".",".","1.61 (0.60 to   4.28)",".",".",".",".",".",".","."
"6.76 (0.27 to  169.50)","3.04 (0.66 to   14.04)","3.57 (0.43 to   29.72)","5.10 (0.21 to  121.81)","1.97 (0.34 to   11.33)","1.77 (0.19 to   16.51)","1.62 (0.25 to   10.57)","2.19 (0.07 to   65.73)","1.19 (0.26 to    5.58)","1.07 (0.23 to    4.88)","1.00 (0.21 to    4.83)","Furmonertinib",".",".",".",".",".",".","1.39 (0.45 to   4.25)",".",".",".",".",".",".",".",".","."
"6.83 (0.22 to  207.98)","3.07 (0.46 to   20.65)","3.61 (0.40 to   32.60)","5.15 (0.16 to  163.44)","1.99 (0.31 to   12.64)","1.79 (0.13 to   24.58)","1.63 (0.16 to   16.70)","2.21 (0.06 to   86.64)","1.20 (0.22 to    6.55)","1.08 (0.19 to    6.11)","1.01 (0.15 to    7.06)","1.01 (0.12 to    8.22)","Zorifertinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".","2.46 (0.70 to   8.68)"
"7.86 (0.40 to  154.48)","3.53 (1.42 to    8.80)","4.15 (0.66 to   25.92)","5.93 (0.27 to  129.83)","2.30 (0.57 to    9.17)","2.06 (0.25 to   16.93)","1.88 (0.33 to   10.56)","2.54 (0.09 to   70.48)","1.39 (0.44 to    4.33)","1.24 (0.40 to    3.89)","1.17 (0.42 to    3.21)","1.16 (0.29 to    4.72)","1.15 (0.19 to    6.99)","Erlotinib + antiangiogenesis",".",".",".",".",".",".","1.23 (0.76 to   1.98)",".",".",".",".",".",".","."
"7.96 (0.38 to  167.88)","3.57 (1.16 to   10.99)","4.20 (0.87 to   20.25)","6.00 (0.27 to  132.57)","2.32 (0.84 to    6.43)","2.09 (0.25 to   17.36)","1.90 (0.33 to   10.86)","2.57 (0.09 to   71.92)","1.40 (0.70 to    2.83)","1.26 (0.57 to    2.78)","1.18 (0.36 to    3.84)","1.18 (0.28 to    4.87)","1.17 (0.25 to    5.44)","1.01 (0.40 to    2.59)","Osimertinib","1.68 (0.41 to   7.00)",".",".",".",".",".",".",".","1.22 (0.52 to   2.85)",".",".",".","2.11 (0.87 to   5.14)"
"8.44 (0.42 to  167.46)","3.79 (1.47 to    9.75)","4.45 (0.75 to   26.39)","6.36 (0.30 to  134.48)","2.46 (0.66 to    9.17)","2.21 (0.28 to   17.24)","2.02 (0.38 to   10.63)","2.73 (0.10 to   73.19)","1.49 (0.52 to    4.25)","1.33 (0.46 to    3.82)","1.25 (0.47 to    3.32)","1.25 (0.33 to    4.68)","1.24 (0.21 to    7.12)","1.07 (0.52 to    2.20)","1.06 (0.46 to    2.43)","Chemotherapy",".",".","0.87 (0.31 to   2.47)","2.70 (0.57 to  12.69)","1.20 (0.62 to   2.34)",".",".",".",".",".",".","."
"8.45 (0.38 to  188.38)","3.80 (1.07 to   13.44)","4.46 (0.59 to   33.97)","6.37 (0.26 to  157.65)","2.47 (0.48 to   12.69)","2.22 (0.23 to   21.67)","2.02 (0.29 to   14.00)","2.73 (0.09 to   84.87)","1.49 (0.36 to    6.26)","1.33 (0.32 to    5.63)","1.25 (0.33 to    4.77)","1.25 (0.24 to    6.52)","1.24 (0.17 to    9.19)","1.08 (0.36 to    3.24)","1.06 (0.29 to    3.83)","1.00 (0.32 to    3.10)","Erlotinib + IGF-1R inhibitor",".",".",".","1.14 (0.42 to   3.09)",".",".",".",".",".",".","."
"9.35 (0.22 to  402.56)","4.20 (0.35 to   49.83)","4.94 (0.27 to   90.53)","7.05 (0.16 to  319.42)","2.73 (0.19 to   38.66)","2.45 (0.11 to   53.02)","2.24 (0.13 to   37.78)","3.03 (0.06 to  166.19)","1.65 (0.13 to   20.67)","1.48 (0.12 to   18.50)","1.39 (0.11 to   16.99)","1.38 (0.10 to   19.42)","1.37 (0.08 to   24.68)","1.19 (0.11 to   13.06)","1.18 (0.10 to   13.58)","1.11 (0.10 to   11.97)","1.11 (0.09 to   14.17)","Afatinib + Cetuximab",".","1.02 (0.10 to  10.05)",".",".",".",".",".",".",".","."
"9.38 (0.46 to  192.35)","4.21 (1.48 to   11.97)","4.95 (0.82 to   29.93)","7.07 (0.36 to  137.79)","2.74 (0.72 to   10.47)","2.46 (0.36 to   16.94)","2.24 (0.50 to   10.12)","3.03 (0.12 to   75.44)","1.65 (0.57 to    4.78)","1.48 (0.53 to    4.14)","1.39 (0.46 to    4.19)","1.39 (0.45 to    4.25)","1.37 (0.23 to    8.07)","1.19 (0.51 to    2.77)","1.18 (0.49 to    2.82)","1.11 (0.55 to    2.24)","1.11 (0.33 to    3.74)","1.00 (0.09 to   10.96)","Gefitinib","1.01 (0.33 to   3.05)",".",".",".","0.98 (0.30 to   3.22)",".",".","1.01 (0.10 to   9.82)","."
"9.58 (0.48 to  190.48)","4.30 (1.66 to   11.13)","5.06 (0.84 to   30.65)","7.22 (0.34 to  153.11)","2.80 (0.73 to   10.73)","2.51 (0.32 to   19.65)","2.29 (0.43 to   12.13)","3.10 (0.12 to   83.31)","1.69 (0.57 to    5.00)","1.51 (0.51 to    4.47)","1.42 (0.51 to    3.98)","1.42 (0.38 to    5.34)","1.40 (0.24 to    8.27)","1.22 (0.59 to    2.51)","1.20 (0.50 to    2.90)","1.14 (0.58 to    2.21)","1.13 (0.36 to    3.52)","1.02 (0.10 to   10.05)","1.02 (0.50 to    2.08)","Afatinib","0.95 (0.48 to   1.89)",".",".","2.27 (0.70 to   7.34)",".","3.48 (0.14 to  88.40)",".","."
"9.65 (0.51 to  182.48)","4.33 (1.99 to    9.45)","5.09 (0.87 to   29.87)","7.27 (0.34 to  153.58)","2.82 (0.77 to   10.34)","2.53 (0.33 to   19.68)","2.31 (0.44 to   12.12)","3.12 (0.12 to   83.59)","1.70 (0.61 to    4.78)","1.52 (0.54 to    4.30)","1.43 (0.59 to    3.49)","1.43 (0.38 to    5.33)","1.41 (0.25 to    8.05)","1.23 (0.76 to    1.98)","1.21 (0.54 to    2.72)","1.14 (0.67 to    1.95)","1.14 (0.42 to    3.09)","1.03 (0.10 to   10.78)","1.03 (0.51 to    2.06)","1.01 (0.58 to    1.73)","Erlotinib","1.25 (0.30 to   5.18)","1.15 (0.63 to   2.11)","1.38 (0.65 to   2.93)","3.11 (0.12 to  78.18)",".","1.25 (0.59 to   2.66)","."
"12.02 (0.46 to  315.44)","5.40 (1.06 to   27.41)","6.35 (0.65 to   61.54)","9.06 (0.31 to  262.66)","3.51 (0.51 to   24.17)","3.15 (0.26 to   38.32)","2.87 (0.32 to   25.62)","3.89 (0.11 to  139.99)","2.12 (0.37 to   12.33)","1.90 (0.33 to   11.07)","1.78 (0.33 to    9.58)","1.78 (0.26 to   12.39)","1.76 (0.19 to   16.70)","1.53 (0.34 to    6.88)","1.51 (0.29 to    7.78)","1.43 (0.31 to    6.53)","1.42 (0.25 to    8.09)","1.29 (0.08 to   20.02)","1.28 (0.26 to    6.26)","1.25 (0.27 to    5.77)","1.25 (0.30 to    5.18)","DHFR inhibitor",".",".",".",".",".","."
"11.14 (0.55 to  224.05)","5.00 (1.87 to   13.41)","5.88 (0.91 to   38.13)","8.40 (0.37 to  188.15)","3.25 (0.78 to   13.64)","2.92 (0.34 to   24.79)","2.66 (0.46 to   15.57)","3.60 (0.13 to  101.98)","1.97 (0.59 to    6.50)","1.76 (0.53 to    5.85)","1.65 (0.56 to    4.85)","1.65 (0.39 to    7.03)","1.63 (0.26 to   10.30)","1.42 (0.66 to    3.06)","1.40 (0.51 to    3.84)","1.32 (0.59 to    2.96)","1.32 (0.41 to    4.22)","1.19 (0.11 to   13.44)","1.19 (0.47 to    2.98)","1.16 (0.52 to    2.62)","1.15 (0.63 to    2.11)","0.93 (0.20 to    4.36)","Erlotinib + MET inhibitor",".",".",".",".","."
"11.29 (0.57 to  224.31)","5.07 (1.97 to   13.09)","5.96 (1.06 to   33.50)","8.51 (0.40 to  179.94)","3.30 (0.95 to   11.41)","2.96 (0.38 to   23.07)","2.70 (0.51 to   14.22)","3.65 (0.14 to   97.93)","1.99 (0.76 to    5.23)","1.78 (0.67 to    4.76)","1.68 (0.60 to    4.68)","1.67 (0.45 to    6.26)","1.65 (0.30 to    9.02)","1.44 (0.70 to    2.95)","1.42 (0.70 to    2.89)","1.34 (0.69 to    2.61)","1.34 (0.43 to    4.15)","1.21 (0.11 to   12.94)","1.20 (0.60 to    2.42)","1.18 (0.62 to    2.24)","1.17 (0.68 to    2.01)","0.94 (0.20 to    4.31)","1.01 (0.45 to    2.28)","Placebo",".",".","2.47 (0.70 to   8.66)","."
"30.05 (0.38 to 2357.00)","13.50 (0.49 to  371.77)","15.87 (0.40 to  626.75)","22.65 (0.27 to 1915.22)","8.78 (0.27 to  283.52)","7.88 (0.17 to  359.42)","7.18 (0.19 to  269.57)","9.72 (0.10 to  970.80)","5.30 (0.18 to  156.40)","4.74 (0.16 to  140.22)","4.46 (0.16 to  126.33)","4.45 (0.14 to  144.60)","4.40 (0.11 to  171.49)","3.82 (0.15 to   99.41)","3.78 (0.14 to  104.76)","3.56 (0.14 to   93.43)","3.55 (0.12 to  103.70)","3.21 (0.06 to  173.11)","3.20 (0.12 to   86.60)","3.14 (0.12 to   82.38)","3.11 (0.12 to   78.18)","2.50 (0.07 to   84.77)","2.70 (0.10 to   71.62)","2.66 (0.10 to   69.87)","Erlotinib + COX2 inhibitor",".",".","."
"33.31 (0.41 to 2728.17)","14.96 (0.51 to  436.13)","17.59 (0.43 to  713.87)","25.11 (0.29 to 2148.84)","9.73 (0.29 to  323.43)","8.73 (0.19 to  404.05)","7.96 (0.21 to  303.27)","10.77 (0.11 to 1088.74)","5.88 (0.19 to  178.34)","5.26 (0.17 to  159.60)","4.94 (0.17 to  147.46)","4.93 (0.15 to  162.77)","4.88 (0.12 to  195.34)","4.24 (0.15 to  116.73)","4.19 (0.15 to  119.67)","3.95 (0.15 to  107.46)","3.94 (0.13 to  121.54)","3.56 (0.07 to  186.85)","3.55 (0.13 to   97.57)","3.48 (0.14 to   88.40)","3.45 (0.13 to   91.86)","2.77 (0.08 to   99.12)","2.99 (0.11 to   84.07)","2.95 (0.11 to   79.91)","1.11 (0.01 to  110.21)","Afatinib + HMGCR inhibitor",".","."
"14.55 (0.72 to  295.11)","6.54 (2.38 to   17.96)","7.68 (1.21 to   48.65)","10.97 (0.50 to  242.12)","4.25 (1.05 to   17.28)","3.82 (0.46 to   31.68)","3.48 (0.61 to   19.81)","4.71 (0.17 to  131.37)","2.57 (0.81 to    8.18)","2.30 (0.72 to    7.36)","2.16 (0.72 to    6.45)","2.15 (0.52 to    8.89)","2.13 (0.35 to   13.13)","1.85 (0.83 to    4.13)","1.83 (0.70 to    4.80)","1.72 (0.77 to    3.86)","1.72 (0.53 to    5.63)","1.56 (0.14 to   17.51)","1.55 (0.65 to    3.70)","1.52 (0.68 to    3.39)","1.51 (0.79 to    2.87)","1.21 (0.25 to    5.78)","1.31 (0.54 to    3.16)","1.29 (0.62 to    2.69)","0.48 (0.02 to   12.96)","0.44 (0.02 to   12.26)","Dacomitinib","."
"16.82 (0.70 to  402.74)","7.55 (1.80 to   31.63)","8.88 (1.46 to   54.05)","12.68 (0.51 to  317.47)","4.91 (1.27 to   18.95)","4.41 (0.44 to   43.86)","4.02 (0.57 to   28.41)","5.44 (0.17 to  170.78)","2.97 (0.96 to    9.20)","2.66 (0.81 to    8.75)","2.50 (0.57 to   10.93)","2.49 (0.47 to   13.29)","2.46 (0.70 to    8.68)","2.14 (0.59 to    7.79)","2.11 (0.87 to    5.14)","1.99 (0.59 to    6.73)","1.99 (0.42 to    9.47)","1.80 (0.13 to   24.27)","1.79 (0.52 to    6.23)","1.76 (0.50 to    6.12)","1.74 (0.52 to    5.80)","1.40 (0.22 to    9.02)","1.51 (0.39 to    5.79)","1.49 (0.48 to    4.65)","0.56 (0.02 to   17.45)","0.50 (0.02 to   16.20)","1.16 (0.31 to    4.29)","Gefitinib/Erlotinib"
