"1st-generation EGFR TKIs + IGF-1R inhibitor(9mg/kg)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","11.20 (0.60 to 207.51)",".",".",".",".",".","."
"1.68 (0.06 to   47.96)","3rd-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".",".",".",".","4.20 (0.87 to  20.25)",".",".",".",".",".",".",".",".",".",".",".","."
"1.16 (0.02 to   73.14)","0.69 (0.02 to   20.05)","1st-generation EGFR TKIs + MMP inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".","9.65 (0.51 to 182.48)",".",".",".",".",".","."
"2.58 (0.13 to   53.03)","1.54 (0.25 to    9.49)","2.23 (0.11 to   46.60)","Antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".","4.33 (1.99 to   9.45)",".",".",".",".",".","."
"3.04 (0.13 to   69.44)","1.81 (0.28 to   11.76)","2.62 (0.11 to   60.98)","1.18 (0.30 to    4.62)","3rd-generation EGFR TKIs + chemotherapy",".",".",".",".",".","2.32 (0.84 to   6.43)",".",".",".",".",".",".",".",".",".",".",".","."
"3.41 (0.13 to   89.66)","2.03 (0.22 to   18.43)","2.94 (0.11 to   78.68)","1.32 (0.25 to    6.98)","1.12 (0.18 to    7.15)","1st-generation EGFR TKIs + HER3 inhibitor(18mg/kg)",".",".",".",".",".",".",".",".",".",".","3.28 (0.75 to  14.30)",".",".",".",".",".","."
"4.55 (0.19 to  109.27)","2.70 (0.34 to   21.46)","3.92 (0.16 to   95.93)","1.76 (0.40 to    7.74)","1.50 (0.28 to    8.10)","1.33 (0.19 to    9.24)","Zorifertinib",".",".",".",".",".",".",".",".",".","2.46 (0.70 to   8.68)",".",".",".",".",".","."
"4.54 (0.16 to  132.26)","2.70 (0.26 to   28.51)","3.91 (0.13 to  115.99)","1.76 (0.27 to   11.28)","1.49 (0.20 to   11.36)","1.33 (0.14 to   12.49)","1.00 (0.12 to    8.20)","Rociletinib(625mg)",".",".",".",".",".",".",".",".","2.47 (0.46 to  13.37)",".",".",".",".",".","."
"3.69 (0.05 to  283.74)","2.20 (0.06 to   81.20)","3.18 (0.04 to  247.83)","1.43 (0.05 to   39.01)","1.21 (0.04 to   36.59)","1.08 (0.03 to   37.11)","0.81 (0.03 to   25.62)","0.81 (0.02 to   30.72)","1st-generation EGFR TKIs + PARP inhibitor",".",".",".",".",".",".",".","3.03 (0.12 to  75.44)",".",".",".",".",".","."
"5.71 (0.27 to  120.81)","3.39 (0.59 to   19.39)","4.92 (0.23 to  106.14)","2.21 (0.68 to    7.22)","1.88 (0.53 to    6.65)","1.67 (0.30 to    9.35)","1.25 (0.27 to    5.87)","1.26 (0.19 to    8.50)","1.55 (0.06 to   43.41)","3rd-generation EGFR TKIs + Amivantamab","1.24 (0.58 to   2.62)",".",".",".",".",".",".",".",".",".",".",".","."
