"Antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".","5.75 (0.94 to  35.22)","5.58 (2.59 to  12.03)",".",".",".",".",".",".",".",".",".","."
"0.99 (0.31 to    3.17)","Rociletinib",".",".",".",".",".",".",".",".",".",".",".",".",".","5.59 (2.24 to  13.96)",".",".",".",".",".",".",".",".",".","."
"1.26 (0.46 to    3.44)","1.27 (0.40 to    4.03)","3rd-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".",".","3.04 (1.57 to   5.89)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.72 (0.29 to   10.25)","1.73 (0.27 to   11.29)","1.37 (0.23 to    8.13)","1st-generation EGFR TKIs + MMP inhibitor",".",".",".",".",".",".",".",".",".",".",".","3.22 (0.63 to  16.53)",".",".",".",".",".",".",".",".",".","."
"2.45 (1.03 to    5.85)","2.47 (0.87 to    6.99)","1.95 (0.89 to    4.27)","1.42 (0.26 to    7.85)","3rd-generation EGFR TKIs + chemotherapy",".",".",".",".","1.56 (1.02 to   2.38)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2.11 (0.38 to   11.57)","2.12 (0.35 to   12.80)","1.68 (0.31 to    9.18)","1.22 (0.13 to   11.61)","0.86 (0.17 to    4.36)","1st-generation EGFR TKIs + HER3 inhibitor",".",".",".",".",".",".",".",".",".","2.63 (0.56 to  12.36)",".",".",".",".",".",".",".",".",".","."
"1.83 (0.07 to   49.22)","1.84 (0.07 to   52.09)","1.46 (0.05 to   39.11)","1.06 (0.03 to   39.12)","0.75 (0.03 to   19.28)","0.87 (0.02 to   30.72)","1st-generation EGFR TKIs + PARP inhibitor",".",".",".",".",".",".",".",".","3.03 (0.12 to  75.44)",".",".",".",".",".",".",".",".",".","."
"3.04 (1.03 to    8.94)","3.06 (0.90 to   10.37)","2.42 (0.88 to    6.64)","1.77 (0.29 to   10.93)","1.24 (0.52 to    2.97)","1.44 (0.25 to    8.25)","1.66 (0.06 to   45.66)","3rd-generation EGFR TKIs + Amivantamab",".","1.26 (0.59 to   2.70)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"3.14 (0.59 to   16.66)","3.16 (0.54 to   18.46)","2.50 (0.47 to   13.22)","1.82 (0.20 to   16.86)","1.28 (0.26 to    6.26)","1.49 (0.17 to   12.92)","1.72 (0.05 to   59.74)","1.03 (0.19 to    5.71)","1st-generation EGFR TKIs + Autophagy inhibitor",".",".",".",".",".",".","1.77 (0.39 to   7.99)",".",".",".",".",".",".",".",".",".","."
"3.82 (1.79 to    8.19)","3.85 (1.49 to    9.98)","3.04 (1.57 to    5.89)","2.22 (0.42 to   11.63)","1.56 (1.02 to    2.38)","1.82 (0.38 to    8.70)","2.09 (0.08 to   52.56)","1.26 (0.59 to    2.70)","1.22 (0.26 to    5.63)","3rd-generation EGFR TKIs",".","1.98 (0.41 to   9.44)",".",".",".","1.37 (1.04 to   1.80)",".",".",".",".",".","4.03 (0.18 to  91.91)",".","2.74 (1.56 to   4.81)",".","11.64 (0.63 to 214.54)"
"4.22 (1.60 to   11.14)","4.26 (1.38 to   13.10)","3.36 (1.28 to    8.81)","2.45 (0.42 to   14.27)","1.72 (0.76 to    3.91)","2.01 (0.37 to   10.74)","2.31 (0.09 to   61.34)","1.39 (0.49 to    3.92)","1.35 (0.26 to    6.96)","1.10 (0.55 to    2.23)","1st-generation EGFR TKIs + chemotherapy","1.03 (0.17 to   6.09)",".",".",".","1.38 (0.69 to   2.74)",".",".",".",".",".",".",".",".",".","."
"4.86 (2.14 to   11.04)","4.90 (1.80 to   13.30)","3.87 (1.72 to    8.68)","2.82 (0.53 to   15.20)","1.98 (1.06 to    3.72)","2.31 (0.47 to   11.39)","2.66 (0.10 to   67.76)","1.60 (0.65 to    3.92)","1.55 (0.33 to    7.37)","1.27 (0.80 to    2.03)","1.15 (0.55 to    2.41)","Chemotherapy",".",".",".","1.14 (0.74 to   1.76)",".",".",".",".","2.83 (0.53 to  15.21)",".",".",".",".","."
"4.88 (1.92 to   12.39)","4.92 (1.65 to   14.66)","3.89 (1.54 to    9.81)","2.84 (0.50 to   16.16)","1.99 (0.92 to    4.32)","2.32 (0.44 to   12.15)","2.67 (0.10 to   70.13)","1.61 (0.59 to    4.38)","1.56 (0.31 to    7.87)","1.28 (0.67 to    2.44)","1.16 (0.48 to    2.80)","1.00 (0.49 to    2.06)","Zorifertinib",".",".","1.14 (0.63 to   2.06)",".",".",".",".",".",".",".",".",".","."
