"Chemotherapy + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0.09 (0.00 to   1.58)",".",".",".",".",".",".",".","."
"1.12 (0.01 to  107.31)","1st-generation EGFR TKIs + HGF inhibitor",".",".",".",".",".",".",".",".","0.11 (0.00 to   3.70)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.19 (0.01 to    3.54)","0.17 (0.00 to    5.70)","Placebo",".",".","0.98 (0.42 to   2.32)",".",".",".",".","0.80 (0.43 to   1.51)",".",".",".",".",".",".",".","0.38 (0.22 to   0.65)",".",".",".",".",".",".",".","."
"0.39 (0.00 to   29.99)","0.35 (0.00 to   40.49)","2.07 (0.08 to   53.17)","1st-generation EGFR TKIs + COX2 inhibitor",".",".",".",".",".",".","0.32 (0.01 to   8.06)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.35 (0.00 to   24.86)","0.31 (0.00 to   34.27)","1.85 (0.08 to   43.35)","0.90 (0.01 to   80.52)","3rd-generation EGFR TKIs + PD-L1 inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".","0.25 (0.01 to   5.65)",".",".",".",".",".",".",".","."
"0.16 (0.01 to    3.09)","0.15 (0.00 to    4.94)","0.87 (0.53 to    1.42)","0.42 (0.02 to   10.78)","0.47 (0.02 to   11.02)","2nd-generation EGFR TKIs","0.97 (0.40 to   2.34)",".",".",".","0.82 (0.54 to   1.24)",".","0.74 (0.20 to   2.73)",".",".","0.37 (0.08 to   1.74)",".",".",".",".",".",".",".",".",".",".","."
"0.16 (0.01 to    3.42)","0.14 (0.00 to    5.36)","0.85 (0.31 to    2.31)","0.41 (0.01 to   11.80)","0.46 (0.02 to   12.09)","0.97 (0.40 to    2.34)","2nd-generation EGFR TKIs + Cetuximab",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.15 (0.01 to    4.00)","0.14 (0.00 to    6.10)","0.83 (0.19 to    3.63)","0.40 (0.01 to   13.57)","0.45 (0.01 to   13.99)","0.95 (0.22 to    4.15)","0.98 (0.18 to    5.44)","DHFR inhibitor",".",".","0.80 (0.19 to   3.34)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.14 (0.01 to    2.70)","0.12 (0.00 to    4.28)","0.73 (0.36 to    1.48)","0.35 (0.01 to    9.36)","0.39 (0.02 to    9.59)","0.84 (0.42 to    1.68)","0.87 (0.28 to    2.64)","0.88 (0.19 to    4.12)","1st-generation EGFR TKIs + MET inhibitor",".","0.91 (0.51 to   1.62)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.13 (0.01 to    2.57)","0.12 (0.00 to    4.08)","0.70 (0.35 to    1.40)","0.34 (0.01 to    8.92)","0.38 (0.02 to    9.14)","0.80 (0.41 to    1.59)","0.83 (0.27 to    2.51)","0.84 (0.18 to    3.92)","0.95 (0.42 to    2.16)","1st-generation EGFR TKIs + IGF-1R inhibitor","0.95 (0.54 to   1.69)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.12 (0.01 to    2.31)","0.11 (0.00 to    3.70)","0.66 (0.45 to    0.99)","0.32 (0.01 to    8.06)","0.36 (0.02 to    8.25)","0.76 (0.53 to    1.11)","0.78 (0.30 to    2.04)","0.80 (0.19 to    3.34)","0.91 (0.51 to    1.62)","0.95 (0.54 to    1.69)","1st-generation EGFR TKIs","0.98 (0.72 to   1.34)",".","0.99 (0.02 to  50.39)","0.88 (0.49 to   1.59)","0.88 (0.58 to   1.34)","0.76 (0.40 to   1.44)","0.60 (0.15 to   2.49)","0.74 (0.56 to   0.97)",".","0.33 (0.01 to   8.20)","0.45 (0.11 to   1.84)",".","0.36 (0.08 to   1.60)",".","0.19 (0.08 to   0.46)","0.19 (0.09 to   0.40)"
"0.12 (0.01 to    2.33)","0.11 (0.00 to    3.72)","0.66 (0.40 to    1.09)","0.32 (0.01 to    8.10)","0.35 (0.02 to    8.29)","0.76 (0.47 to    1.23)","0.78 (0.29 to    2.12)","0.79 (0.18 to    3.42)","0.90 (0.47 to    1.73)","0.94 (0.49 to    1.81)","0.99 (0.73 to    1.35)","1st-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0.17 (0.03 to   1.07)"
"0.12 (0.00 to    3.02)","0.11 (0.00 to    4.63)","0.64 (0.16 to    2.60)","0.31 (0.01 to   10.29)","0.35 (0.01 to   10.58)","0.74 (0.20 to    2.73)","0.76 (0.16 to    3.67)","0.78 (0.11 to    5.57)","0.88 (0.20 to    3.85)","0.92 (0.21 to    4.03)","0.97 (0.25 to    3.77)","0.98 (0.24 to    3.94)","2nd-generation EGFR TKIs + HMGCR inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.12 (0.00 to   16.46)","0.11 (0.00 to   21.31)","0.66 (0.01 to   34.12)","0.32 (0.00 to   51.22)","0.35 (0.00 to   54.10)","0.76 (0.01 to   39.16)","0.78 (0.01 to   44.32)","0.79 (0.01 to   51.94)","0.90 (0.02 to   47.70)","0.94 (0.02 to   49.93)","0.99 (0.02 to   50.39)","1.00 (0.02 to   51.48)","1.02 (0.02 to   65.23)","1st-generation EGFR TKIs + ER inhibitor",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.11 (0.01 to    2.16)","0.10 (0.00 to    3.43)","0.59 (0.29 to    1.19)","0.28 (0.01 to    7.50)","0.32 (0.01 to    7.69)","0.67 (0.34 to    1.35)","0.69 (0.23 to    2.13)","0.71 (0.15 to    3.31)","0.80 (0.35 to    1.83)","0.84 (0.37 to    1.91)","0.88 (0.49 to    1.59)","0.89 (0.46 to    1.73)","0.91 (0.21 to    4.00)","0.89 (0.02 to   47.44)","Zorifertinib",".",".",".",".",".",".",".",".",".",".",".","."
"0.11 (0.01 to    2.07)","0.10 (0.00 to    3.31)","0.58 (0.34 to    1.00)","0.28 (0.01 to    7.22)","0.31 (0.01 to    7.37)","0.67 (0.40 to    1.12)","0.69 (0.25 to    1.90)","0.70 (0.16 to    3.07)","0.79 (0.40 to    1.59)","0.83 (0.42 to    1.66)","0.88 (0.60 to    1.28)","0.88 (0.54 to    1.44)","0.90 (0.22 to    3.67)","0.88 (0.02 to   45.88)","0.99 (0.49 to    2.00)","Chemotherapy","0.97 (0.16 to   5.79)",".","0.59 (0.14 to   2.47)",".",".",".",".",".",".",".","."
"0.10 (0.00 to    1.95)","0.09 (0.00 to    3.09)","0.53 (0.25 to    1.09)","0.25 (0.01 to    6.76)","0.28 (0.01 to    6.92)","0.60 (0.30 to    1.23)","0.62 (0.20 to    1.92)","0.64 (0.14 to    2.99)","0.72 (0.31 to    1.67)","0.75 (0.33 to    1.74)","0.79 (0.43 to    1.45)","0.80 (0.40 to    1.58)","0.82 (0.18 to    3.61)","0.80 (0.02 to   42.70)","0.90 (0.39 to    2.09)","0.90 (0.45 to    1.81)","1st-generation EGFR TKIs + chemotherapy",".",".",".",".",".",".",".",".",".","."
"0.07 (0.00 to    1.92)","0.07 (0.00 to    2.93)","0.40 (0.09 to    1.74)","0.19 (0.01 to    6.53)","0.22 (0.01 to    6.73)","0.46 (0.11 to    1.99)","0.47 (0.09 to    2.61)","0.48 (0.06 to    3.61)","0.54 (0.12 to    2.53)","0.57 (0.12 to    2.64)","0.60 (0.15 to    2.49)","0.61 (0.14 to    2.59)","0.62 (0.09 to    4.42)","0.61 (0.01 to   39.64)","0.68 (0.15 to    3.17)","0.69 (0.16 to    2.99)","0.76 (0.16 to    3.55)","1st-generation EGFR TKIs + Autophagy inhibitor",".",".",".",".",".",".",".",".","."
