"Osimertinib + antiangiogenesis",".",".",".",".",".",".",".",".",".","2.85 (1.51 to   5.39)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.04 (0.33 to    3.28)","Antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","5.75 (0.94 to  35.22)","4.63 (2.13 to  10.07)",".","29.90 (1.74 to 513.78)",".",".",".",".",".",".",".",".",".",".","."
"1.02 (0.28 to    3.70)","0.98 (0.31 to    3.08)","Rociletinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","5.34 (2.17 to  13.11)",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.71 (0.03 to   16.91)","0.69 (0.03 to   15.96)","0.70 (0.03 to   17.16)","Befotertinib","1.12 (0.68 to   1.85)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.80 (0.03 to   18.24)","0.77 (0.03 to   17.21)","0.78 (0.03 to   18.52)","1.12 (0.68 to    1.85)","Icotinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","7.07 (0.36 to 137.79)",".",".",".",".",".",".",".",".",".",".","."
"1.84 (0.86 to    3.94)","1.78 (0.62 to    5.07)","1.81 (0.55 to    5.97)","2.59 (0.11 to   59.50)","2.31 (0.10 to   50.94)","Osimertinib + chemotherapy",".",".",".",".","1.55 (1.02 to   2.35)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2.12 (0.82 to    5.47)","2.05 (0.64 to    6.57)","2.08 (0.57 to    7.64)","2.99 (0.13 to   70.98)","2.66 (0.12 to   60.79)","1.15 (0.51 to    2.60)","Lazertinib + Amivantamab",".","1.11 (0.48 to   2.54)",".","1.41 (0.69 to   2.88)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.95 (0.34 to   11.31)","1.88 (0.36 to    9.83)","1.91 (0.33 to   10.95)","2.74 (0.09 to   83.91)","2.45 (0.08 to   72.08)","1.06 (0.20 to    5.74)","0.92 (0.16 to    5.37)","Erlotinib + MMP inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","2.79 (0.63 to  12.46)",".",".",".",".",".",".",".",".",".",".",".",".","."
"2.55 (0.92 to    7.02)","2.46 (0.75 to    8.02)","2.50 (0.67 to    9.32)","3.58 (0.15 to   84.80)","3.19 (0.14 to   72.63)","1.38 (0.57 to    3.38)","1.20 (0.54 to    2.66)","1.31 (0.22 to    7.74)","Lazertinib",".","1.27 (0.53 to   3.05)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","1.41 (0.28 to   7.26)",".",".",".",".",".",".",".",".",".",".","."
"2.45 (0.45 to   13.23)","2.37 (0.49 to   11.44)","2.41 (0.45 to   12.80)","3.45 (0.12 to  101.74)","3.08 (0.11 to   87.36)","1.33 (0.26 to    6.70)","1.16 (0.21 to    6.29)","1.26 (0.16 to    9.82)","0.96 (0.17 to    5.32)","Erlotinib + HER3 inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".","2.22 (0.54 to   9.09)",".",".",".",".",".",".",".",".",".",".",".",".","."
"2.85 (1.51 to    5.39)","2.75 (1.05 to    7.20)","2.80 (0.91 to    8.57)","4.01 (0.18 to   89.57)","3.58 (0.17 to   76.66)","1.55 (1.02 to    2.35)","1.34 (0.67 to    2.71)","1.46 (0.28 to    7.53)","1.12 (0.51 to    2.47)","1.16 (0.24 to    5.53)","Osimertinib",".",".",".",".","1.68 (0.41 to   7.00)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","2.44 (1.39 to   4.28)","4.03 (0.18 to  91.91)","2.65 (1.53 to   4.58)",".",".","11.64 (0.63 to 214.54)","."
