"Erlotinib + HGF inhibitor",".",".",".",".",".",".",".",".",".",".",".",".","0.11 (0.00 to   3.70)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.68 (0.01 to   67.90)","Chemotherapy + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0.09 (0.00 to   1.58)",".",".",".",".",".",".",".",".",".","."
"0.19 (0.01 to    6.45)","0.27 (0.01 to    5.63)","Dacomitinib",".","0.41 (0.12 to   1.42)",".",".",".",".",".",".","0.99 (0.10 to   9.56)",".","0.68 (0.37 to   1.26)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.35 (0.00 to   40.49)","0.51 (0.01 to   41.44)","1.86 (0.07 to   49.02)","Erlotinib + COX2 inhibitor",".",".",".",".",".",".",".",".",".","0.32 (0.01 to   8.06)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.15 (0.00 to    5.10)","0.22 (0.01 to    4.18)","0.79 (0.40 to    1.56)","0.43 (0.02 to   11.13)","Placebo",".",".",".",".",".",".","1.02 (0.33 to   3.21)","0.44 (0.14 to   1.42)","0.72 (0.34 to   1.54)",".",".",".",".",".",".",".",".",".",".",".",".",".","0.38 (0.22 to   0.65)",".",".",".",".",".",".",".",".",".","."
"0.23 (0.00 to   26.98)","0.35 (0.00 to   24.86)","1.26 (0.05 to   31.90)","0.68 (0.01 to   63.50)","1.59 (0.07 to   37.82)","Osimertinib + PD-L1 inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0.25 (0.01 to   5.65)",".",".",".",".",".",".",".",".",".","."
"0.14 (0.00 to    5.26)","0.21 (0.01 to    4.07)","0.76 (0.29 to    2.04)","0.41 (0.01 to   11.56)","0.96 (0.45 to    2.05)","0.60 (0.03 to   14.49)","Gefitinib/Erlotinib",".",".","0.88 (0.49 to   1.59)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0.41 (0.23 to   0.72)",".",".",".",".",".",".",".",".",".","."
"0.14 (0.00 to    6.10)","0.20 (0.01 to    5.61)","0.75 (0.16 to    3.44)","0.40 (0.01 to   13.57)","0.94 (0.21 to    4.29)","0.59 (0.02 to   19.55)","0.98 (0.18 to    5.19)","DHFR inhibitor",".",".",".",".",".","0.80 (0.19 to   3.34)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.12 (0.00 to    4.28)","0.18 (0.01 to    3.80)","0.66 (0.30 to    1.47)","0.35 (0.01 to    9.36)","0.83 (0.38 to    1.81)","0.52 (0.02 to   13.46)","0.86 (0.30 to    2.47)","0.88 (0.19 to    4.12)","Erlotinib + MET inhibitor",".",".",".",".","0.91 (0.51 to   1.62)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.13 (0.00 to    4.87)","0.18 (0.01 to    3.81)","0.67 (0.21 to    2.12)","0.36 (0.01 to   10.74)","0.85 (0.33 to    2.22)","0.53 (0.02 to   13.50)","0.88 (0.49 to    1.59)","0.90 (0.15 to    5.32)","1.02 (0.31 to    3.41)","Zorifertinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
