"Cabozantinib",".",".",".","5.75 (0.92 to  35.88)",".",".","18.13 (0.99 to 333.10)",".",".",".",".","."
"3.55 (0.15 to   81.66)","Osimertinib + Bevacizumab",".",".",".","2.93 (1.50 to   5.72)",".",".",".",".",".",".","."
"3.92 (0.19 to   80.61)","1.10 (0.27 to    4.47)","Vandetanib",".",".",".",".","4.16 (1.78 to   9.71)",".",".",".","29.90 (1.72 to 519.86)","."
"8.28 (0.37 to  183.70)","2.33 (0.48 to   11.32)","2.11 (0.55 to    8.10)","Erlotinib + Ramucirumab",".",".",".","2.19 (0.75 to   6.36)",".",".",".",".","."
"5.75 (0.92 to   35.88)","1.62 (0.05 to   50.73)","1.47 (0.05 to   41.50)","0.69 (0.02 to   21.04)","Erlotinib + Cabozantinib",".",".","3.16 (0.12 to  80.68)",".",".",".",".","."
"10.39 (0.49 to  222.26)","2.93 (1.50 to    5.72)","2.65 (0.78 to    9.04)","1.25 (0.30 to    5.25)","1.81 (0.06 to   53.04)","Osimertinib",".",".",".",".","2.66 (1.47 to   4.79)",".","."
"12.16 (0.48 to  309.46)","3.42 (0.77 to   15.30)","3.10 (0.62 to   15.55)","1.47 (0.25 to    8.64)","2.12 (0.06 to   72.71)","1.17 (0.31 to    4.46)","Afatinib",".",".",".","2.27 (0.68 to   7.55)",".","."
"18.13 (0.99 to  333.10)","5.11 (1.59 to   16.41)","4.63 (2.04 to   10.50)","2.19 (0.75 to    6.36)","3.16 (0.12 to   80.68)","1.75 (0.67 to    4.54)","1.49 (0.36 to    6.15)","Erlotinib","1.08 (0.67 to   1.74)","1.10 (0.62 to   1.96)","1.39 (0.64 to   3.02)",".","."
"19.59 (1.03 to  373.81)","5.52 (1.57 to   19.44)","5.00 (1.94 to   12.87)","2.37 (0.74 to    7.59)","3.41 (0.13 to   90.19)","1.89 (0.65 to    5.47)","1.61 (0.36 to    7.17)","1.08 (0.67 to    1.74)","Erlotinib + Sunitinib",".",".",".","."
"20.03 (1.03 to  388.91)","5.64 (1.54 to   20.69)","5.11 (1.88 to   13.87)","2.42 (0.72 to    8.10)","3.49 (0.13 to   93.67)","1.93 (0.63 to    5.87)","1.65 (0.36 to    7.59)","1.10 (0.62 to    1.96)","1.02 (0.49 to    2.15)","Erlotinib + Bevacizumab",".",".","."
"27.60 (1.37 to  557.60)","7.78 (3.18 to   19.00)","7.04 (2.40 to   20.64)","3.33 (0.91 to   12.27)","4.80 (0.17 to  133.79)","2.66 (1.47 to    4.79)","2.27 (0.68 to    7.55)","1.52 (0.72 to    3.22)","1.41 (0.58 to    3.42)","1.38 (0.54 to    3.54)","Placebo","1.03 (0.30 to   3.48)","2.47 (0.68 to   8.89)"
"35.27 (1.45 to  854.94)","9.94 (2.34 to   42.17)","9.00 (2.12 to   38.19)","4.26 (0.79 to   22.89)","6.14 (0.19 to  201.73)","3.39 (0.94 to   12.22)","2.90 (0.56 to   15.16)","1.94 (0.53 to    7.14)","1.80 (0.45 to    7.19)","1.76 (0.43 to    7.29)","1.28 (0.41 to    3.98)","Gefitinib","."
"68.12 (2.59 to 1788.28)","19.19 (4.02 to   91.56)","17.38 (3.26 to   92.62)","8.23 (1.32 to   51.19)","11.85 (0.34 to  419.10)","6.56 (1.60 to   26.90)","5.60 (0.97 to   32.46)","3.76 (0.85 to   16.59)","3.48 (0.73 to   16.54)","3.40 (0.69 to   16.71)","2.47 (0.68 to    8.89)","1.93 (0.35 to   10.71)","Dacomitinib"
