"Dacomitinib",".","0.41 (0.11 to   1.46)",".",".",".",".",".",".",".",".",".","."
"0.52 (0.09 to    2.87)","Gefitinib","0.98 (0.29 to   3.31)",".",".",".",".",".",".",".","0.03 (0.00 to   0.58)",".","."
"0.41 (0.11 to    1.46)","0.78 (0.25 to    2.44)","Placebo",".",".","0.72 (0.33 to   1.55)","0.44 (0.13 to   1.46)","0.38 (0.21 to   0.68)",".",".",".",".","."
"0.29 (0.06 to    1.44)","0.57 (0.14 to    2.35)","0.73 (0.28 to    1.86)","Erlotinib + Bevacizumab",".","0.91 (0.51 to   1.60)",".",".",".",".",".",".","."
"0.29 (0.06 to    1.37)","0.56 (0.14 to    2.22)","0.71 (0.29 to    1.72)","0.98 (0.47 to    2.06)","Erlotinib + Sunitinib","0.93 (0.58 to   1.49)",".",".",".",".",".",".","."
"0.27 (0.06 to    1.18)","0.51 (0.14 to    1.89)","0.66 (0.31 to    1.39)","0.91 (0.51 to    1.60)","0.93 (0.58 to    1.49)","Erlotinib",".",".","0.32 (0.01 to   8.10)","0.46 (0.16 to   1.33)","0.24 (0.10 to   0.56)",".","0.06 (0.00 to   1.01)"
"0.18 (0.03 to    1.03)","0.34 (0.07 to    1.80)","0.44 (0.13 to    1.46)","0.61 (0.13 to    2.80)","0.62 (0.14 to    2.76)","0.67 (0.16 to    2.76)","Afatinib",".",".",".",".",".","."
"0.15 (0.04 to    0.63)","0.29 (0.08 to    1.06)","0.38 (0.21 to    0.68)","0.52 (0.17 to    1.58)","0.53 (0.18 to    1.54)","0.57 (0.22 to    1.49)","0.85 (0.22 to    3.26)","Osimertinib",".",".",".","0.34 (0.17 to   0.67)","."
"0.08 (0.00 to    2.98)","0.16 (0.00 to    5.36)","0.21 (0.01 to    5.80)","0.29 (0.01 to    7.71)","0.29 (0.01 to    7.76)","0.32 (0.01 to    8.10)","0.47 (0.01 to   16.24)","0.55 (0.02 to   16.23)","Erlotinib + Cabozantinib",".",".",".","0.17 (0.03 to   1.09)"
"0.12 (0.02 to    0.76)","0.23 (0.04 to    1.26)","0.30 (0.08 to    1.10)","0.41 (0.12 to    1.39)","0.42 (0.13 to    1.36)","0.46 (0.16 to    1.33)","0.68 (0.12 to    4.01)","0.80 (0.19 to    3.33)","1.44 (0.05 to   43.69)","Erlotinib + Ramucirumab",".",".","."
"0.06 (0.01 to    0.31)","0.11 (0.03 to    0.47)","0.14 (0.05 to    0.42)","0.20 (0.07 to    0.53)","0.20 (0.08 to    0.52)","0.22 (0.10 to    0.49)","0.32 (0.06 to    1.62)","0.38 (0.11 to    1.29)","0.68 (0.02 to   19.31)","0.47 (0.12 to    1.82)","Vandetanib",".","."
"0.05 (0.01 to    0.25)","0.10 (0.02 to    0.43)","0.13 (0.05 to    0.31)","0.18 (0.05 to    0.65)","0.18 (0.05 to    0.64)","0.20 (0.06 to    0.63)","0.29 (0.07 to    1.30)","0.34 (0.17 to    0.67)","0.62 (0.02 to   19.36)","0.43 (0.09 to    2.08)","0.91 (0.22 to    3.67)","Osimertinib + Bevacizumab","."
"0.01 (0.00 to    0.39)","0.03 (0.00 to    0.69)","0.04 (0.00 to    0.73)","0.05 (0.00 to    0.97)","0.05 (0.00 to    0.97)","0.06 (0.00 to    1.01)","0.08 (0.00 to    2.09)","0.10 (0.00 to    2.06)","0.17 (0.03 to    1.09)","0.12 (0.01 to    2.68)","0.26 (0.01 to    5.25)","0.28 (0.01 to    6.48)","Cabozantinib"
