"Chemotherapy + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0.09 (0.00 to   1.58)",".",".",".",".",".",".",".","."
"1.12 (0.01 to  107.23)","1st-generation EGFR TKIs + HGF inhibitor",".",".",".",".",".",".",".",".","0.11 (0.00 to   3.70)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.19 (0.01 to    3.55)","0.17 (0.00 to    5.73)","Placebo",".",".","0.98 (0.42 to   2.32)",".",".",".",".","0.80 (0.42 to   1.51)",".",".",".",".",".",".",".","0.38 (0.22 to   0.65)",".",".",".",".",".",".",".","."
"0.39 (0.00 to   29.97)","0.35 (0.00 to   40.49)","2.06 (0.08 to   52.94)","1st-generation EGFR TKIs + COX2 inhibitor",".",".",".",".",".",".","0.32 (0.01 to   8.06)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.35 (0.00 to   24.86)","0.31 (0.00 to   34.30)","1.85 (0.08 to   43.19)","0.90 (0.01 to   80.59)","3rd-generation EGFR TKIs + PD-L1 inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".","0.25 (0.01 to   5.65)",".",".",".",".",".",".",".","."
"0.16 (0.01 to    3.10)","0.15 (0.00 to    4.96)","0.87 (0.53 to    1.42)","0.42 (0.02 to   10.82)","0.47 (0.02 to   11.04)","2nd-generation EGFR TKIs","0.97 (0.40 to   2.34)",".",".",".","0.82 (0.54 to   1.24)",".","0.74 (0.20 to   2.73)",".","0.37 (0.08 to   1.74)",".",".",".",".",".",".",".",".",".",".",".","."
"0.16 (0.01 to    3.43)","0.14 (0.00 to    5.38)","0.84 (0.31 to    2.31)","0.41 (0.01 to   11.83)","0.46 (0.02 to   12.12)","0.97 (0.40 to    2.34)","2nd-generation EGFR TKIs + Cetuximab",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.14 (0.01 to    2.80)","0.13 (0.00 to    4.44)","0.75 (0.37 to    1.54)","0.37 (0.01 to    9.71)","0.41 (0.02 to    9.94)","0.87 (0.43 to    1.75)","0.89 (0.29 to    2.75)","1st-generation EGFR TKIs + IGF-1R inhibitor",".",".","0.88 (0.48 to   1.58)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.15 (0.01 to    4.00)","0.14 (0.00 to    6.10)","0.82 (0.19 to    3.62)","0.40 (0.01 to   13.57)","0.45 (0.01 to   13.98)","0.95 (0.22 to    4.14)","0.97 (0.18 to    5.42)","1.09 (0.23 to    5.11)","DHFR inhibitor",".","0.80 (0.19 to   3.34)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.14 (0.01 to    2.71)","0.12 (0.00 to    4.31)","0.73 (0.36 to    1.50)","0.36 (0.01 to    9.42)","0.40 (0.02 to    9.64)","0.84 (0.42 to    1.70)","0.87 (0.28 to    2.67)","0.97 (0.42 to    2.24)","0.89 (0.19 to    4.16)","1st-generation EGFR TKIs + MET inhibitor","0.90 (0.50 to   1.64)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.12 (0.01 to    2.31)","0.11 (0.00 to    3.70)","0.66 (0.44 to    0.99)","0.32 (0.01 to    8.06)","0.36 (0.02 to    8.24)","0.76 (0.52 to    1.11)","0.78 (0.30 to    2.03)","0.88 (0.48 to    1.58)","0.80 (0.19 to    3.34)","0.90 (0.50 to    1.64)","1st-generation EGFR TKIs","0.97 (0.71 to   1.33)",".","0.88 (0.49 to   1.59)","0.88 (0.57 to   1.35)","0.76 (0.40 to   1.44)","0.70 (0.13 to   3.69)","0.60 (0.15 to   2.49)","0.74 (0.56 to   0.97)",".","0.34 (0.01 to   8.51)","0.33 (0.01 to   8.20)",".","0.36 (0.08 to   1.60)","0.25 (0.08 to   0.78)",".","0.19 (0.09 to   0.40)"
"0.12 (0.01 to    2.31)","0.11 (0.00 to    3.70)","0.65 (0.39 to    1.08)","0.32 (0.01 to    8.06)","0.35 (0.02 to    8.24)","0.75 (0.46 to    1.22)","0.77 (0.28 to    2.10)","0.86 (0.44 to    1.68)","0.79 (0.18 to    3.40)","0.89 (0.45 to    1.74)","0.98 (0.72 to    1.35)","1st-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".","0.17 (0.03 to   1.07)"
"0.12 (0.00 to    3.03)","0.11 (0.00 to    4.64)","0.64 (0.16 to    2.59)","0.31 (0.01 to   10.32)","0.35 (0.01 to   10.61)","0.74 (0.20 to    2.73)","0.76 (0.16 to    3.67)","0.85 (0.19 to    3.75)","0.78 (0.11 to    5.59)","0.88 (0.20 to    3.87)","0.97 (0.25 to    3.79)","0.99 (0.25 to    3.98)","2nd-generation EGFR TKIs + HMGCR inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".","."
