"Rociletinib(625mg)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","6.47 (2.36 to  17.68)",".",".",".",".",".",".",".",".",".","."
"1.23 (0.36 to    4.18)","Antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".","5.75 (0.94 to  35.22)","5.27 (2.49 to  11.15)",".",".",".",".",".",".",".",".",".","."
"1.53 (0.45 to    5.19)","1.25 (0.47 to    3.34)","3rd-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".",".","2.93 (1.54 to   5.59)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.97 (0.33 to   11.70)","1.61 (0.31 to    8.20)","1.29 (0.25 to    6.55)","1st-generation EGFR TKIs + HER3 inhibitor(18 mg)",".",".",".",".",".",".",".",".",".",".",".",".","3.28 (0.75 to  14.30)",".",".",".",".",".",".",".",".",".","."
"2.32 (0.38 to   14.04)","1.89 (0.36 to    9.85)","1.51 (0.29 to    7.87)","1.18 (0.14 to    9.58)","1st-generation EGFR TKIs + MMP inhibitor",".",".",".",".",".",".",".",".",".",".",".","2.79 (0.63 to  12.46)",".",".",".",".",".",".",".",".",".","."
"2.88 (0.94 to    8.82)","2.35 (1.00 to    5.53)","1.88 (0.87 to    4.07)","1.46 (0.31 to    6.90)","1.24 (0.26 to    6.01)","3rd-generation EGFR TKIs + chemotherapy",".",".",".","1.56 (1.02 to   2.37)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2.13 (0.07 to   61.83)","1.74 (0.06 to   46.65)","1.39 (0.05 to   37.33)","1.08 (0.03 to   37.11)","0.92 (0.03 to   31.89)","0.74 (0.03 to   19.10)","1st-generation EGFR TKIs + PARP inhibitor",".",".",".",".",".",".",".",".",".","3.03 (0.12 to  75.44)",".",".",".",".",".",".",".",".",".","."
"2.19 (0.08 to   64.14)","1.79 (0.07 to   48.41)","1.43 (0.05 to   38.73)","1.11 (0.03 to   38.48)","0.95 (0.03 to   33.07)","0.76 (0.03 to   19.82)","1.03 (0.01 to   97.48)","1st-generation EGFR TKIs + IGF-1R inhibitor(16mg/kg)",".",".",".",".",".",".",".",".","2.95 (0.12 to  73.90)",".",".",".",".",".",".",".",".",".","."
"3.62 (1.01 to   13.03)","2.95 (1.03 to    8.51)","2.37 (0.88 to    6.37)","1.84 (0.35 to    9.78)","1.56 (0.29 to    8.50)","1.26 (0.53 to    2.97)","1.70 (0.06 to   46.52)","1.65 (0.06 to   45.55)","3rd-generation EGFR TKIs + Amivantamab","1.24 (0.58 to   2.62)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"4.48 (1.59 to   12.65)","3.66 (1.73 to    7.71)","2.93 (1.54 to    5.59)","2.28 (0.51 to   10.13)","1.94 (0.42 to    8.83)","1.56 (1.02 to    2.37)","2.10 (0.08 to   52.82)","2.04 (0.08 to   51.74)","1.24 (0.58 to    2.62)","3rd-generation EGFR TKIs",".",".","1.68 (0.41 to   7.00)",".",".",".","1.36 (1.03 to   1.79)",".",".",".",".",".","4.03 (0.18 to  91.91)",".","2.65 (1.53 to   4.58)",".","11.64 (0.63 to 214.54)"
"3.88 (0.68 to   22.14)","3.17 (0.65 to   15.45)","2.54 (0.52 to   12.34)","1.97 (0.26 to   15.25)","1.68 (0.21 to   13.20)","1.35 (0.30 to    6.06)","1.82 (0.05 to   61.16)","1.77 (0.05 to   59.87)","1.07 (0.21 to    5.46)","0.87 (0.20 to    3.67)","1st-generation EGFR TKIs + Autophagy inhibitor",".",".",".",".",".","1.67 (0.40 to   6.90)",".",".",".",".",".",".",".",".",".","."
"5.10 (1.57 to   16.56)","4.16 (1.64 to   10.56)","3.33 (1.32 to    8.41)","2.59 (0.53 to   12.74)","2.20 (0.44 to   11.09)","1.77 (0.81 to    3.88)","2.39 (0.09 to   63.02)","2.32 (0.09 to   61.72)","1.41 (0.52 to    3.83)","1.14 (0.59 to    2.21)","1.31 (0.28 to    6.17)","1st-generation EGFR TKIs + chemotherapy","1.03 (0.17 to   6.09)",".",".",".","1.32 (0.69 to   2.51)",".",".",".",".",".",".",".",".",".","."
"5.64 (1.92 to   16.59)","4.60 (2.06 to   10.27)","3.69 (1.68 to    8.12)","2.87 (0.63 to   13.13)","2.44 (0.52 to   11.43)","1.96 (1.06 to    3.63)","2.65 (0.10 to   67.40)","2.57 (0.10 to   66.02)","1.56 (0.65 to    3.75)","1.26 (0.80 to    1.98)","1.45 (0.33 to    6.34)","1.11 (0.55 to    2.24)","Chemotherapy",".",".",".","1.14 (0.74 to   1.74)",".",".",".",".","2.70 (0.57 to  12.69)",".",".",".",".","."
"5.70 (1.78 to   18.31)","4.65 (1.86 to   11.63)","3.73 (1.50 to    9.27)","2.90 (0.59 to   14.14)","2.46 (0.49 to   12.30)","1.98 (0.92 to    4.26)","2.68 (0.10 to   70.23)","2.60 (0.10 to   68.78)","1.58 (0.59 to    4.23)","1.27 (0.67 to    2.42)","1.47 (0.32 to    6.84)","1.12 (0.48 to    2.62)","1.01 (0.50 to    2.05)","Zorifertinib",".",".","1.13 (0.63 to   2.04)",".",".",".",".",".",".",".",".",".","."
