"Rociletinib(625mg)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","6.47 (2.36 to  17.68)",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.16 (0.29 to    4.56)","Osimertinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".","2.93 (1.54 to   5.59)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.58 (0.03 to   12.65)","0.50 (0.02 to   10.66)","Erlotinib + IGF-1R inhibitor(9mg/kg)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","11.20 (0.60 to 207.51)",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.23 (0.36 to    4.19)","1.06 (0.33 to    3.38)","2.13 (0.11 to   42.84)","Antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","5.75 (0.94 to  35.22)",".","4.63 (2.13 to  10.07)",".","29.90 (1.74 to 513.78)",".",".",".",".",".",".",".",".",".",".","."
"0.84 (0.03 to   21.58)","0.73 (0.03 to   17.44)","1.46 (0.02 to  101.95)","0.69 (0.03 to   16.07)","Befotertinib","1.12 (0.68 to   1.85)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.95 (0.04 to   23.30)","0.82 (0.04 to   18.81)","1.64 (0.02 to  111.10)","0.77 (0.03 to   17.33)","1.12 (0.68 to    1.85)","Icotinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","7.07 (0.36 to 137.79)",".",".",".",".",".",".",".",".",".",".","."
"2.18 (0.61 to    7.85)","1.88 (0.87 to    4.07)","3.78 (0.18 to   77.86)","1.78 (0.62 to    5.08)","2.59 (0.11 to   59.66)","2.31 (0.10 to   51.08)","Osimertinib + chemotherapy",".",".",".",".",".","1.56 (1.02 to   2.37)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.97 (0.33 to   11.70)","1.70 (0.30 to    9.69)","3.41 (0.13 to   89.66)","1.60 (0.31 to    8.18)","2.33 (0.08 to   70.99)","2.08 (0.07 to   60.98)","0.90 (0.17 to    4.79)","Erlotinib + HER3 inhibitor(18mg/kg)",".",".",".",".",".",".",".",".",".",".",".",".",".",".","3.28 (0.75 to  14.30)",".",".",".",".",".",".",".",".",".",".",".",".","."
"2.53 (0.64 to   10.03)","2.18 (0.84 to    5.65)","4.38 (0.20 to   94.08)","2.06 (0.64 to    6.61)","3.00 (0.13 to   71.42)","2.67 (0.12 to   61.17)","1.16 (0.51 to    2.62)","1.28 (0.22 to    7.36)","Lazertinib + Amivantamab",".","1.11 (0.48 to   2.54)",".","1.41 (0.69 to   2.88)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"2.32 (0.38 to   14.04)","2.00 (0.34 to   11.63)","4.01 (0.15 to  106.60)","1.89 (0.36 to    9.84)","2.74 (0.09 to   84.36)","2.45 (0.08 to   72.47)","1.06 (0.20 to    5.76)","1.18 (0.14 to    9.58)","0.92 (0.16 to    5.37)","Erlotinib + MMP inhibitor",".",".",".",".",".",".",".",".",".",".",".",".","2.79 (0.63 to  12.46)",".",".",".",".",".",".",".",".",".",".",".",".","."
