"Antiangiogenesis","6.34 (0.96 to  41.68)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","2.16 (0.60 to   7.75)",".",".",".","."
"1.13 (0.36 to    3.56)","1st-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","3.88 (2.33 to   6.46)",".",".",".","."
"1.01 (0.13 to    7.75)","0.90 (0.15 to    5.34)","3rd-generation EGFR TKIs + Amivantamab",".",".",".",".",".",".",".",".",".",".","2.69 (0.60 to  12.14)",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.76 (0.02 to   26.08)","0.68 (0.02 to   20.11)","0.76 (0.02 to   32.64)","1st-generation EGFR TKIs + ER inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","5.06 (0.18 to 144.84)",".",".",".","."
"1.21 (0.16 to    9.17)","1.07 (0.18 to    6.30)","1.19 (0.14 to    9.98)","1.58 (0.04 to   68.03)","3rd-generation EGFR TKIs + chemotherapy",".",".",".",".",".",".",".",".","2.25 (0.50 to  10.02)",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.39 (0.21 to    9.36)","1.23 (0.24 to    6.31)","1.37 (0.14 to   13.89)","1.82 (0.05 to   73.44)","1.15 (0.11 to   11.52)","1st-generation EGFR TKIs + IGF-1R inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","2.78 (0.59 to  13.15)",".",".",".","."
"1.45 (0.22 to    9.67)","1.29 (0.25 to    6.51)","1.43 (0.19 to   10.59)","1.90 (0.05 to   76.29)","1.20 (0.16 to    8.77)","1.04 (0.12 to    9.33)","3rd-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".",".","1.87 (0.50 to   6.96)",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.21 (0.03 to   52.38)","1.08 (0.03 to   40.76)","1.20 (0.02 to   64.67)","1.59 (0.01 to  217.98)","1.00 (0.02 to   53.84)","0.87 (0.02 to   44.08)","0.84 (0.02 to   42.03)","1st-generation EGFR TKIs + HGF inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".","3.18 (0.09 to 116.47)",".",".",".","."
"1.49 (0.14 to   15.24)","1.32 (0.16 to   10.86)","1.47 (0.10 to   20.82)","1.95 (0.04 to   99.25)","1.23 (0.09 to   17.28)","1.07 (0.08 to   14.01)","1.03 (0.08 to   13.04)","1.23 (0.02 to   77.15)","2nd-generation EGFR TKIs + Cetuximab",".",".",".",".",".",".",".","1.98 (0.29 to  13.64)",".",".",".",".",".",".",".",".",".","."
"1.94 (0.02 to  164.50)","1.72 (0.02 to  130.64)","1.92 (0.02 to  170.21)","2.54 (0.01 to  594.52)","1.61 (0.02 to  141.79)","1.40 (0.01 to  135.31)","1.34 (0.02 to  111.49)","1.60 (0.01 to  436.43)","1.31 (0.01 to  151.20)","3rd-generation EGFR TKIs + PD-L1 inhibitor",".",".",".","1.40 (0.02 to  95.59)",".",".",".",".",".",".",".",".",".",".",".",".","."
