"1st-generation EGFR TKIs + MMP inhibitor",".",".",".","0.11 (0.00 to   2.76)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.33 (0.00 to   39.64)","1st-generation EGFR TKIs + Autophagy inhibitor",".",".","0.32 (0.01 to  10.97)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.22 (0.00 to   10.12)","0.66 (0.01 to   38.69)","1st-generation EGFR TKIs + HER3 inhibitor",".","0.49 (0.06 to   3.86)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.32 (0.00 to   38.42)","0.97 (0.01 to  140.80)","1.48 (0.03 to   86.94)","Rociletinib","0.33 (0.01 to  11.19)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.11 (0.00 to    2.76)","0.32 (0.01 to   10.97)","0.49 (0.06 to    3.86)","0.33 (0.01 to   11.19)","1st-generation EGFR TKIs","0.82 (0.34 to   1.98)","0.82 (0.36 to   1.89)","1.02 (0.02 to  66.44)","1.01 (0.02 to  64.98)","1.00 (0.02 to  64.77)","0.83 (0.36 to   1.93)",".","0.72 (0.30 to   1.70)","0.54 (0.18 to   1.60)",".","0.71 (0.33 to   1.51)","0.57 (0.05 to   6.77)",".",".","0.31 (0.01 to  11.50)",".","0.36 (0.08 to   1.70)",".","0.20 (0.01 to   5.66)",".","0.26 (0.15 to   0.43)","0.46 (0.13 to   1.67)"
"0.10 (0.00 to    2.67)","0.29 (0.01 to   10.56)","0.44 (0.05 to    3.90)","0.30 (0.01 to   10.77)","0.90 (0.45 to    1.81)","Placebo",".",".",".",".","0.56 (0.15 to   2.01)",".",".","1.02 (0.25 to   4.20)",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.09 (0.00 to    2.62)","0.28 (0.01 to   10.36)","0.43 (0.05 to    3.88)","0.29 (0.01 to   10.56)","0.86 (0.38 to    1.93)","0.96 (0.33 to    2.78)","1st-generation EGFR TKIs + chemotherapy",".",".",".",".",".",".",".",".","0.61 (0.05 to   7.25)",".",".",".",".",".",".",".",".",".",".","."
"0.11 (0.00 to   21.65)","0.33 (0.00 to   78.00)","0.50 (0.00 to   53.01)","0.34 (0.00 to   79.74)","1.02 (0.02 to   66.44)","1.13 (0.02 to   78.33)","1.18 (0.02 to   83.28)","1st-generation EGFR TKIs + COX2 inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.11 (0.00 to   21.24)","0.33 (0.00 to   76.52)","0.50 (0.00 to   51.92)","0.34 (0.00 to   78.22)","1.01 (0.02 to   64.98)","1.12 (0.02 to   76.61)","1.17 (0.02 to   81.47)","0.99 (0.00 to  361.34)","Zorifertinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.11 (0.00 to   21.14)","0.32 (0.00 to   76.16)","0.49 (0.00 to   51.72)","0.33 (0.00 to   77.86)","1.00 (0.02 to   64.77)","1.11 (0.02 to   76.36)","1.16 (0.02 to   81.19)","0.98 (0.00 to  359.55)","0.99 (0.00 to  359.67)","1st-generation EGFR TKIs + PARP inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.08 (0.00 to    2.26)","0.25 (0.01 to    8.92)","0.38 (0.04 to    3.28)","0.25 (0.01 to    9.10)","0.76 (0.39 to    1.51)","0.85 (0.37 to    1.95)","0.88 (0.31 to    2.52)","0.75 (0.01 to   51.54)","0.75 (0.01 to   51.37)","0.76 (0.01 to   52.14)","2nd-generation EGFR TKIs","1.12 (0.02 to  73.96)",".",".",".","0.57 (0.11 to   2.87)",".",".","0.51 (0.07 to   3.49)",".",".",".",".",".",".",".","."
"0.09 (0.00 to   19.14)","0.28 (0.00 to   68.84)","0.42 (0.00 to   47.19)","0.29 (0.00 to   70.37)","0.86 (0.01 to   59.53)","0.95 (0.01 to   68.02)","0.99 (0.01 to   74.41)","0.84 (0.00 to  323.63)","0.85 (0.00 to  323.76)","0.86 (0.00 to  328.07)","1.12 (0.02 to   73.96)","2nd-generation EGFR TKIs + HMGCR inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.08 (0.00 to    2.21)","0.23 (0.01 to    8.73)","0.35 (0.04 to    3.30)","0.24 (0.01 to    8.90)","0.72 (0.30 to    1.70)","0.80 (0.26 to    2.42)","0.83 (0.26 to    2.71)","0.70 (0.01 to   50.13)","0.71 (0.01 to   49.97)","0.72 (0.01 to   50.72)","0.94 (0.31 to    2.83)","0.84 (0.01 to   63.62)","1st-generation EGFR TKIs + MET inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.08 (0.00 to    2.15)","0.23 (0.01 to    8.47)","0.35 (0.04 to    3.17)","0.23 (0.01 to    8.64)","0.70 (0.31 to    1.58)","0.78 (0.31 to    1.96)","0.82 (0.26 to    2.54)","0.69 (0.01 to   48.73)","0.70 (0.01 to   48.57)","0.70 (0.01 to   49.30)","0.92 (0.34 to    2.53)","0.82 (0.01 to   61.08)","0.98 (0.30 to    3.21)","3rd-generation EGFR TKIs","0.99 (0.02 to  64.05)","0.67 (0.12 to   3.66)",".","0.71 (0.01 to  48.77)",".",".","0.53 (0.14 to   1.98)",".","0.44 (0.10 to   1.98)",".","0.37 (0.08 to   1.68)",".","."
"0.07 (0.00 to   15.65)","0.23 (0.00 to   56.26)","0.34 (0.00 to   38.61)","0.23 (0.00 to   57.51)","0.69 (0.01 to   48.75)","0.77 (0.01 to   55.41)","0.81 (0.01 to   60.90)","0.68 (0.00 to  264.36)","0.69 (0.00 to  264.47)","0.69 (0.00 to  267.99)","0.91 (0.01 to   66.74)","0.81 (0.00 to  326.59)","0.97 (0.01 to   74.17)","0.99 (0.02 to   64.05)","Chemotherapy + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".","."
"0.07 (0.00 to    1.83)","0.20 (0.01 to    7.24)","0.31 (0.04 to    2.65)","0.21 (0.01 to    7.38)","0.62 (0.33 to    1.18)","0.69 (0.28 to    1.71)","0.72 (0.27 to    1.95)","0.61 (0.01 to   41.86)","0.62 (0.01 to   41.72)","0.62 (0.01 to   42.35)","0.82 (0.35 to    1.92)","0.73 (0.01 to   52.22)","0.87 (0.30 to    2.55)","0.88 (0.35 to    2.26)","0.90 (0.01 to   64.58)","Chemotherapy",".",".",".",".",".",".",".",".",".",".","."
"0.06 (0.00 to    3.62)","0.19 (0.00 to   13.68)","0.28 (0.01 to    7.03)","0.19 (0.00 to   13.97)","0.57 (0.05 to    6.77)","0.63 (0.05 to    8.30)","0.66 (0.05 to    8.93)","0.56 (0.00 to   71.89)","0.56 (0.00 to   71.77)","0.57 (0.00 to   72.80)","0.75 (0.06 to    9.75)","0.67 (0.00 to   90.54)","0.80 (0.06 to   10.93)","0.81 (0.06 to   10.95)","0.82 (0.01 to  112.41)","0.92 (0.07 to   11.81)","DHFR inhibitor",".",".",".",".",".",".",".",".",".","."
