"Gefitinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","27.46 (6.48 to 116.41)",".",".",".",".",".",".","."
"1.24 (0.04 to    38.11)","Almonertinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","22.13 (0.99 to 493.81)",".",".",".",".",".",".","."
"7.83 (1.10 to    55.68)","6.31 (0.22 to   184.78)","Antiangiogenesis",".","6.34 (1.07 to  37.48)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","1.59 (0.44 to   5.75)",".","7.43 (0.29 to 187.87)",".",".",".",".",".",".","."
"5.17 (0.13 to   212.55)","4.17 (0.04 to   423.87)","0.66 (0.02 to    20.91)","Erlotinib + ER inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","5.06 (0.19 to 136.61)",".",".",".",".",".",".",".",".","."
"9.83 (1.65 to    58.49)","7.92 (0.30 to   209.81)","1.26 (0.43 to     3.70)","1.90 (0.07 to    53.30)","Erlotinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","3.05 (1.84 to   5.05)",".",".",".",".",".",".",".",".","."
"9.13 (1.09 to    76.61)","7.36 (0.23 to   237.84)","1.17 (0.18 to     7.61)","1.77 (0.05 to    68.76)","0.93 (0.18 to     4.92)","Lazertinib + Amivantamab",".",".",".",".",".",".",".",".",".",".",".",".","2.16 (0.53 to   8.69)",".",".",".",".",".",".",".",".",".",".","3.22 (0.82 to  12.58)",".",".",".",".",".","."
"9.48 (0.97 to    92.70)","7.64 (0.21 to   271.75)","1.21 (0.20 to     7.50)","1.83 (0.05 to    68.60)","0.96 (0.20 to     4.69)","1.04 (0.12 to     9.27)","Erlotinib + IGF-1R inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","2.76 (0.61 to  12.37)",".",".",".",".",".",".",".",".","."
"9.56 (0.76 to   120.83)","7.71 (0.18 to   324.53)","1.22 (0.13 to    11.83)","1.85 (0.04 to    89.10)","0.97 (0.12 to     7.91)","1.05 (0.09 to    12.59)","1.01 (0.08 to    12.66)","Afatinib + Cetuximab",".",".",".",".",".",".","1.98 (0.32 to  12.30)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"8.22 (0.16 to   422.30)","6.62 (0.05 to   807.61)","1.05 (0.03 to    42.21)","1.59 (0.01 to   201.28)","0.84 (0.02 to    30.00)","0.90 (0.02 to    43.90)","0.87 (0.02 to    40.74)","0.86 (0.01 to    51.29)","Erlotinib + HGF inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","3.18 (0.09 to 110.30)",".",".",".",".",".",".",".",".","."
"12.34 (1.21 to   125.85)","9.94 (0.27 to   363.37)","1.58 (0.20 to    12.24)","2.39 (0.06 to   101.59)","1.26 (0.20 to     8.03)","1.35 (0.20 to     9.30)","1.30 (0.13 to    13.45)","1.29 (0.09 to    17.81)","1.50 (0.03 to    79.72)","Osimertinib + chemotherapy",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","2.26 (0.55 to   9.36)",".",".",".",".",".","."
"15.25 (1.65 to   141.02)","12.28 (0.36 to   421.86)","1.95 (0.28 to    13.53)","2.95 (0.07 to   118.25)","1.55 (0.27 to     8.77)","1.67 (0.27 to    10.20)","1.61 (0.17 to    15.08)","1.59 (0.13 to    20.19)","1.86 (0.04 to    93.11)","1.24 (0.19 to     8.23)","Osimertinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","1.83 (0.52 to   6.42)",".",".",".",".",".","."
"14.91 (0.78 to   283.73)","12.01 (0.21 to   675.45)","1.90 (0.14 to    25.87)","2.88 (0.05 to   169.55)","1.52 (0.13 to    17.49)","1.63 (0.09 to    28.98)","1.57 (0.09 to    26.53)","1.56 (0.07 to    36.14)","1.81 (0.03 to   130.86)","1.21 (0.06 to    24.02)","0.98 (0.05 to    18.03)","DHFR inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".","1.75 (0.16 to  19.23)",".",".",".",".",".",".",".",".","."
"17.51 (3.19 to    95.98)","14.11 (0.56 to   357.69)","2.24 (0.66 to     7.62)","3.39 (0.12 to    98.37)","1.78 (0.76 to     4.18)","1.92 (0.40 to     9.24)","1.85 (0.35 to     9.65)","1.83 (0.24 to    14.20)","2.13 (0.06 to    79.03)","1.42 (0.24 to     8.33)","1.15 (0.22 to     5.92)","1.17 (0.10 to    14.21)","Chemotherapy",".","1.73 (0.37 to   8.07)",".",".",".",".",".",".",".",".",".",".",".","1.29 (0.55 to   3.06)","1.65 (0.15 to  18.11)","1.78 (0.45 to   7.05)","1.49 (0.31 to   7.18)",".",".",".",".",".","."
"18.33 (2.76 to   121.92)","14.77 (0.52 to   416.29)","2.34 (0.63 to     8.69)","3.55 (0.12 to   105.45)","1.87 (0.73 to     4.79)","2.01 (0.34 to    11.96)","1.93 (0.35 to    10.60)","1.92 (0.21 to    17.11)","2.23 (0.06 to    84.59)","1.49 (0.21 to    10.57)","1.20 (0.19 to     7.61)","1.23 (0.10 to    15.36)","1.05 (0.36 to     3.03)","Erlotinib + MET inhibitor",".",".",".",".",".",".",".",".",".",".",".",".","1.43 (0.64 to   3.18)",".",".",".",".",".",".",".",".","."
"18.91 (3.26 to   109.72)","15.23 (0.58 to   398.13)","2.41 (0.63 to     9.29)","3.66 (0.12 to   111.39)","1.92 (0.69 to     5.35)","2.07 (0.38 to    11.17)","1.99 (0.35 to    11.46)","1.98 (0.32 to    12.30)","2.30 (0.06 to    89.20)","1.53 (0.23 to    10.08)","1.24 (0.21 to     7.22)","1.27 (0.10 to    16.36)","1.08 (0.43 to     2.72)","1.03 (0.31 to     3.44)","Afatinib",".","1.12 (0.02 to  70.59)",".",".",".",".",".",".",".",".","3.19 (0.51 to  20.04)","1.23 (0.29 to   5.15)",".","1.48 (0.30 to   7.43)",".",".",".",".",".",".","."
"19.92 (0.21 to  1909.94)","16.05 (0.08 to  3304.13)","2.54 (0.03 to   213.67)","3.85 (0.02 to   880.22)","2.03 (0.03 to   156.16)","2.18 (0.03 to   173.45)","2.10 (0.02 to   202.83)","2.08 (0.02 to   234.63)","2.42 (0.01 to   646.57)","1.61 (0.02 to   133.12)","1.31 (0.02 to   102.41)","1.34 (0.01 to   186.07)","1.14 (0.02 to    84.53)","1.09 (0.01 to    87.66)","1.05 (0.01 to    82.14)","Osimertinib + PD-L1 inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".","1.40 (0.02 to  91.26)",".",".",".",".",".","."
