"Erlotinib + MMP inhibitor",".",".",".",".",".",".",".",".","0.11 (0.00 to   2.60)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.33 (0.00 to    36.53)","Erlotinib + Autophagy inhibitor",".",".",".",".",".",".",".","0.32 (0.01 to  10.38)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.32 (0.00 to    35.40)","0.97 (0.01 to   130.13)","Rociletinib",".",".",".",".",".",".","0.33 (0.01 to  10.58)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.22 (0.01 to     9.13)","0.66 (0.01 to    35.13)","0.67 (0.01 to    35.85)","Erlotinib + HER3 inhibitor",".",".",".",".",".","0.49 (0.07 to   3.51)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.18 (0.00 to     7.72)","0.56 (0.01 to    29.74)","0.58 (0.01 to    30.36)","0.86 (0.05 to    13.43)","Gefitinib/Erlotinib","1.01 (0.02 to  62.00)","0.61 (0.12 to   3.03)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.19 (0.00 to    48.38)","0.57 (0.00 to   172.93)","0.58 (0.00 to   176.81)","0.87 (0.01 to   122.52)","1.01 (0.02 to    62.00)","Zorifertinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.11 (0.00 to     3.32)","0.35 (0.01 to    13.08)","0.36 (0.01 to    13.34)","0.53 (0.06 to     4.96)","0.61 (0.12 to     3.03)","0.61 (0.01 to    50.39)","Osimertinib",".",".",".","0.98 (0.26 to   3.78)",".",".",".","0.99 (0.02 to  61.12)",".",".","0.67 (0.16 to   2.83)",".",".","0.71 (0.01 to  46.56)",".",".","0.67 (0.14 to   3.25)",".","0.55 (0.16 to   1.92)","0.44 (0.11 to   1.83)",".",".",".","0.31 (0.08 to   1.21)",".",".",".",".","."
"0.11 (0.00 to     3.11)","0.34 (0.01 to    12.32)","0.35 (0.01 to    12.56)","0.52 (0.06 to     4.54)","0.61 (0.09 to     4.28)","0.60 (0.01 to    57.29)","0.98 (0.32 to     3.06)","Gefitinib",".",".","1.66 (0.35 to   7.90)","0.20 (0.01 to   5.38)","1.01 (0.02 to  61.77)","1.00 (0.02 to  61.80)",".","0.99 (0.02 to  61.15)",".","0.87 (0.18 to   4.33)","0.76 (0.29 to   1.98)",".",".","0.68 (0.13 to   3.39)",".","0.56 (0.14 to   2.23)",".",".",".",".",".",".",".",".",".","0.13 (0.01 to   3.40)","0.05 (0.00 to   1.01)","0.04 (0.01 to   0.15)"
"0.12 (0.00 to     3.59)","0.35 (0.01 to    14.09)","0.36 (0.01 to    14.38)","0.54 (0.05 to     5.51)","0.63 (0.07 to     6.10)","0.62 (0.01 to    68.76)","1.02 (0.20 to     5.16)","1.04 (0.23 to     4.73)","Erlotinib + chemotherapy","1.01 (0.26 to   3.90)",".",".",".",".",".",".",".",".",".",".",".",".",".","0.61 (0.06 to   6.69)",".",".",".",".",".",".",".",".",".",".",".","."
"0.11 (0.00 to     2.60)","0.32 (0.01 to    10.38)","0.33 (0.01 to    10.58)","0.49 (0.07 to     3.51)","0.58 (0.08 to     3.97)","0.57 (0.01 to    53.93)","0.94 (0.32 to     2.79)","0.95 (0.38 to     2.41)","0.91 (0.26 to     3.18)","Erlotinib","0.60 (0.22 to   1.62)","1.17 (0.33 to   4.06)",".",".",".",".","1.02 (0.02 to  63.40)",".",".",".",".","0.82 (0.19 to   3.43)","0.70 (0.31 to   1.56)","0.77 (0.33 to   1.83)","0.57 (0.05 to   6.25)",".",".","0.31 (0.01 to  10.90)",".","0.36 (0.08 to   1.63)",".","0.33 (0.20 to   0.54)","0.20 (0.01 to   5.34)","0.63 (0.17 to   2.28)",".","."
"0.11 (0.00 to     2.83)","0.33 (0.01 to    11.23)","0.33 (0.01 to    11.45)","0.50 (0.06 to     4.02)","0.58 (0.09 to     3.81)","0.57 (0.01 to    53.05)","0.94 (0.34 to     2.58)","0.95 (0.38 to     2.41)","0.92 (0.22 to     3.82)","1.00 (0.48 to     2.09)","Placebo","0.87 (0.17 to   4.36)",".",".",".",".",".",".",".",".",".","0.31 (0.05 to   1.96)",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.10 (0.00 to     2.77)","0.30 (0.01 to    10.93)","0.31 (0.01 to    11.14)","0.45 (0.05 to     4.07)","0.53 (0.06 to     4.30)","0.52 (0.01 to    53.20)","0.86 (0.22 to     3.36)","0.87 (0.26 to     2.98)","0.84 (0.17 to     4.08)","0.92 (0.34 to     2.47)","0.92 (0.32 to     2.62)","Dacomitinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.11 (0.00 to    22.40)","0.34 (0.00 to    80.68)","0.35 (0.00 to    82.47)","0.52 (0.00 to    54.81)","0.61 (0.01 to    58.13)","0.60 (0.00 to   280.85)","0.99 (0.01 to    70.93)","1.01 (0.02 to    61.77)","0.97 (0.01 to    77.71)","1.06 (0.02 to    71.94)","1.05 (0.02 to    71.84)","1.15 (0.02 to    84.67)","Icotinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.11 (0.00 to    22.38)","0.34 (0.00 to    80.61)","0.35 (0.00 to    82.41)","0.52 (0.00 to    54.81)","0.61 (0.01 to    58.13)","0.60 (0.00 to   280.49)","0.98 (0.01 to    70.96)","1.00 (0.02 to    61.80)","0.96 (0.01 to    77.72)","1.05 (0.02 to    71.96)","1.05 (0.02 to    71.87)","1.15 (0.02 to    84.70)","1.00 (0.00 to   338.06)","Gefitinib + PARP inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.11 (0.00 to    23.15)","0.34 (0.00 to    83.32)","0.35 (0.00 to    85.18)","0.52 (0.00 to    56.96)","0.61 (0.01 to    50.56)","0.60 (0.00 to   253.18)","0.99 (0.02 to    61.12)","1.00 (0.01 to    72.33)","0.96 (0.01 to    80.90)","1.05 (0.01 to    75.07)","1.05 (0.02 to    73.56)","1.15 (0.01 to    88.53)","1.00 (0.00 to   378.40)","1.00 (0.00 to   381.76)","Chemotherapy + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.11 (0.00 to    22.17)","0.34 (0.00 to    79.86)","0.35 (0.00 to    81.64)","0.52 (0.00 to    54.26)","0.60 (0.01 to    57.54)","0.60 (0.00 to   278.00)","0.98 (0.01 to    70.22)","0.99 (0.02 to    61.15)","0.96 (0.01 to    76.93)","1.04 (0.02 to    71.22)","1.04 (0.02 to    71.12)","1.14 (0.02 to    83.82)","0.99 (0.00 to   335.00)","0.99 (0.00 to   338.00)","0.99 (0.00 to   377.21)","Furmonertinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.11 (0.00 to    20.11)","0.33 (0.00 to    72.61)","0.34 (0.00 to    74.22)","0.50 (0.01 to    48.73)","0.59 (0.01 to    56.10)","0.58 (0.00 to   271.05)","0.96 (0.01 to    68.46)","0.97 (0.01 to    66.91)","0.93 (0.01 to    69.71)","1.02 (0.02 to    63.40)","1.02 (0.02 to    67.61)","1.11 (0.02 to    77.73)","0.97 (0.00 to   354.58)","0.97 (0.00 to   357.74)","0.97 (0.00 to   367.79)","0.98 (0.00 to   358.49)","Erlotinib + COX2 inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
