"Cabozantinib",".",".",".","6.34 (0.88 to   45.78)",".",".",".",".",".",".",".",".",".",".","49.24 (1.93 to 1254.52)","."
"1.26 (0.02 to   77.69)","Gefitinib + Apatinib",".",".",".",".",".",".",".",".",".","29.09 (4.75 to  178.18)",".",".",".",".","."
"1.75 (0.01 to  293.37)","1.39 (0.03 to   74.10)","Gefitinib + Bevacizumab",".",".",".",".",".",".",".",".","21.00 (0.61 to  725.85)",".",".",".",".","."
"10.33 (0.37 to  284.81)","8.18 (0.58 to  115.30)","5.90 (0.10 to  333.32)","Erlotinib + Bevacizumab",".",".",".",".",".",".",".",".",".",".",".","4.77 (2.32 to    9.78)","."
"6.34 (0.88 to   45.78)","5.02 (0.07 to  340.02)","3.62 (0.02 to  656.75)","0.61 (0.02 to   19.06)","Erlotinib + Cabozantinib",".",".",".",".",".",".",".",".",".",".","7.77 (0.27 to  223.57)","."
"11.66 (0.22 to  617.93)","9.23 (0.40 to  212.97)","6.66 (0.08 to  527.98)","1.13 (0.10 to   12.53)","1.84 (0.03 to  107.74)","Afatinib",".",".",".",".",".",".",".","3.19 (0.42 to   24.33)",".",".","."
"10.60 (0.10 to 1085.83)","8.39 (0.13 to  545.86)","6.06 (0.03 to 1062.50)","1.03 (0.03 to   30.31)","1.67 (0.01 to  186.69)","0.91 (0.02 to   51.05)","Erlotinib + Sorafenib",".",".",".",".",".",".",".",".","4.65 (0.17 to  127.11)","."
"19.94 (0.38 to 1046.53)","15.78 (0.69 to  359.77)","11.39 (0.15 to  894.98)","1.93 (0.18 to   21.09)","3.15 (0.05 to  182.51)","1.71 (0.10 to   29.80)","1.88 (0.03 to  104.69)","Osimertinib + Bevacizumab",".",".",".",".",".",".","1.91 (0.49 to    7.47)",".","."
"25.68 (0.57 to 1159.22)","20.33 (0.79 to  520.57)","14.68 (0.17 to 1253.89)","2.49 (0.29 to   20.97)","4.05 (0.08 to  202.94)","2.20 (0.10 to   46.56)","2.42 (0.05 to  116.23)","1.29 (0.06 to   26.89)","Erlotinib + Ramucirumab",".",".",".",".",".",".","1.92 (0.26 to   14.28)","."
"25.69 (0.46 to 1428.05)","20.34 (0.62 to  663.48)","14.68 (0.14 to 1501.14)","2.49 (0.21 to   29.85)","4.05 (0.07 to  248.70)","2.20 (0.08 to   60.18)","2.42 (0.04 to  142.75)","1.29 (0.05 to   34.80)","1.00 (0.04 to   22.50)","Erlotinib + Pazopanib",".",".",".",".",".","1.92 (0.18 to   20.68)","."
"32.54 (0.68 to 1560.26)","25.76 (1.27 to  523.16)","18.60 (0.26 to 1345.74)","3.15 (0.34 to   29.54)","5.13 (0.10 to  272.72)","2.79 (0.18 to   42.85)","3.07 (0.06 to  156.30)","1.63 (0.11 to   24.71)","1.27 (0.07 to   23.49)","1.27 (0.05 to   30.65)","Dacomitinib",".",".","1.14 (0.18 to    7.12)",".",".","."
"36.74 (0.91 to 1484.84)","29.09 (4.75 to  178.18)","21.00 (0.61 to  725.85)","3.56 (0.52 to   24.45)","5.80 (0.13 to  260.74)","3.15 (0.24 to   40.86)","3.47 (0.08 to  149.15)","1.84 (0.14 to   23.55)","1.43 (0.10 to   21.06)","1.43 (0.07 to   28.05)","1.13 (0.10 to   12.50)","Gefitinib","0.13 (0.00 to    3.81)","1.72 (0.31 to    9.50)",".",".","."
"37.93 (1.06 to 1359.30)","30.03 (1.92 to  468.68)","21.68 (0.36 to 1309.20)","3.67 (0.68 to   19.81)","5.98 (0.15 to  239.53)","3.25 (0.22 to   47.85)","3.58 (0.09 to  136.82)","1.90 (0.13 to   27.59)","1.48 (0.12 to   18.38)","1.48 (0.09 to   24.91)","1.17 (0.09 to   14.76)","1.03 (0.13 to    8.14)","Vandetanib",".",".","0.79 (0.15 to    4.12)","."
"37.25 (1.23 to 1129.50)","29.49 (2.69 to  322.96)","21.29 (0.44 to 1023.15)","3.61 (0.99 to   13.15)","5.88 (0.17 to  200.08)","3.19 (0.42 to   24.33)","3.52 (0.11 to  114.04)","1.87 (0.25 to   13.97)","1.45 (0.15 to   14.15)","1.45 (0.11 to   19.73)","1.14 (0.18 to    7.12)","1.01 (0.21 to    4.84)","0.98 (0.17 to    5.72)","Placebo","1.02 (0.23 to    4.49)","1.66 (0.54 to    5.05)","."
"38.11 (0.92 to 1571.08)","30.18 (1.81 to  503.19)","21.78 (0.34 to 1375.61)","3.69 (0.52 to   26.34)","6.01 (0.13 to  275.73)","3.27 (0.27 to   40.32)","3.60 (0.08 to  157.76)","1.91 (0.49 to    7.47)","1.48 (0.10 to   22.45)","1.48 (0.07 to   29.82)","1.17 (0.11 to   12.30)","1.04 (0.12 to    8.93)","1.00 (0.10 to   10.03)","1.02 (0.23 to    4.49)","Osimertinib",".","."
"49.24 (1.93 to 1254.52)","38.98 (3.05 to  497.49)","28.14 (0.53 to 1489.25)","4.77 (2.32 to    9.78)","7.77 (0.27 to  223.57)","4.22 (0.42 to   42.02)","4.65 (0.17 to  127.11)","2.47 (0.25 to   24.17)","1.92 (0.26 to   14.28)","1.92 (0.18 to   20.68)","1.51 (0.18 to   12.61)","1.34 (0.22 to    8.02)","1.30 (0.28 to    5.96)","1.32 (0.45 to    3.87)","1.29 (0.21 to    8.05)","Erlotinib","1.44 (0.37 to    5.65)"
"70.73 (2.10 to 2379.36)","56.00 (3.11 to 1009.17)","40.43 (0.61 to 2691.94)","6.85 (1.46 to   32.16)","11.16 (0.30 to  420.09)","6.07 (0.42 to   88.03)","6.67 (0.19 to  239.76)","3.55 (0.25 to   50.76)","2.75 (0.24 to   31.31)","2.75 (0.18 to   42.85)","2.17 (0.17 to   27.13)","1.93 (0.20 to   18.32)","1.86 (0.24 to   14.48)","1.90 (0.33 to   10.83)","1.86 (0.19 to   18.24)","1.44 (0.37 to    5.65)","Erlotinib + Sunitinib"
