"Erlotinib + Sunitinib","0.70 (0.18 to    2.74)",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.70 (0.18 to    2.74)","Erlotinib",".","0.60 (0.20 to    1.84)","1.27 (0.24 to    6.65)",".",".","0.52 (0.05 to    5.63)","0.52 (0.07 to    3.88)",".","0.22 (0.01 to    5.89)",".","0.13 (0.00 to    3.71)","0.21 (0.10 to    0.43)",".",".","0.02 (0.00 to    0.52)"
"0.54 (0.05 to    5.30)","0.77 (0.12 to    4.82)","Osimertinib","0.98 (0.22 to    4.29)",".",".",".",".",".","0.52 (0.13 to    2.04)",".",".",".",".",".",".","."
"0.53 (0.09 to    3.01)","0.76 (0.26 to    2.22)","0.98 (0.22 to    4.29)","Placebo",".","0.58 (0.11 to    3.20)","0.87 (0.14 to    5.43)",".",".",".",".","0.31 (0.04 to    2.38)",".",".",".",".","."
"0.54 (0.07 to    4.16)","0.77 (0.17 to    3.54)","1.00 (0.10 to    9.94)","1.02 (0.17 to    5.93)","Vandetanib","7.43 (0.26 to  210.60)",".",".",".",".",".",".",".",".",".",".","."
"0.52 (0.05 to    4.94)","0.75 (0.12 to    4.46)","0.96 (0.11 to    8.30)","0.99 (0.21 to    4.71)","0.97 (0.12 to    7.64)","Gefitinib",".",".",".",".",".",".",".",".","0.05 (0.00 to    1.65)","0.03 (0.01 to    0.21)","."
"0.46 (0.04 to    5.74)","0.66 (0.08 to    5.51)","0.85 (0.08 to    8.96)","0.87 (0.14 to    5.43)","0.86 (0.07 to   10.86)","0.89 (0.08 to    9.81)","Dacomitinib",".",".",".",".",".",".",".",".",".","."
"0.36 (0.02 to    5.65)","0.52 (0.05 to    5.63)","0.67 (0.03 to   13.55)","0.69 (0.05 to    9.39)","0.68 (0.04 to   11.43)","0.70 (0.04 to   13.72)","0.79 (0.03 to   19.11)","Erlotinib + Pazopanib",".",".",".",".",".",".",".",".","."
"0.36 (0.03 to    4.13)","0.52 (0.07 to    3.88)","0.67 (0.04 to   10.19)","0.69 (0.07 to    6.72)","0.68 (0.05 to    8.42)","0.70 (0.05 to   10.29)","0.79 (0.04 to   14.63)","1.00 (0.04 to   22.47)","Erlotinib + Ramucirumab",".",".",".",".",".",".",".","."
"0.28 (0.02 to    4.03)","0.40 (0.04 to    3.96)","0.52 (0.13 to    2.04)","0.54 (0.07 to    4.00)","0.53 (0.04 to    7.62)","0.54 (0.04 to    6.93)","0.61 (0.04 to    9.28)","0.78 (0.03 to   20.95)","0.78 (0.04 to   16.21)","Osimertinib + Bevacizumab",".",".",".",".",".",".","."
"0.15 (0.00 to    5.38)","0.22 (0.01 to    5.89)","0.28 (0.01 to   12.19)","0.28 (0.01 to    9.23)","0.28 (0.01 to   10.68)","0.29 (0.01 to   12.41)","0.33 (0.01 to   16.58)","0.41 (0.01 to   24.28)","0.41 (0.01 to   19.79)","0.53 (0.01 to   29.58)","Erlotinib + Sorafenib",".",".",".",".",".","."
"0.16 (0.01 to    2.39)","0.24 (0.02 to    2.36)","0.31 (0.02 to    3.77)","0.31 (0.04 to    2.38)","0.31 (0.02 to    4.52)","0.32 (0.02 to    4.11)","0.36 (0.02 to    5.50)","0.45 (0.02 to   12.39)","0.45 (0.02 to    9.60)","0.58 (0.03 to   10.19)","1.10 (0.02 to   61.81)","Afatinib",".",".",".",".","."
"0.09 (0.00 to    3.37)","0.13 (0.00 to    3.71)","0.17 (0.00 to    7.63)","0.17 (0.00 to    5.79)","0.17 (0.00 to    6.69)","0.17 (0.00 to    7.76)","0.19 (0.00 to   10.35)","0.25 (0.00 to   15.14)","0.25 (0.00 to   12.37)","0.32 (0.01 to   18.45)","0.60 (0.01 to   66.81)","0.54 (0.01 to   31.84)","Erlotinib + Cabozantinib",".",".",".","0.16 (0.02 to    1.14)"
"0.15 (0.03 to    0.69)","0.21 (0.10 to    0.43)","0.27 (0.04 to    1.93)","0.28 (0.08 to    1.01)","0.27 (0.05 to    1.47)","0.28 (0.04 to    1.93)","0.32 (0.03 to    2.98)","0.40 (0.03 to    4.83)","0.40 (0.05 to    3.39)","0.52 (0.05 to    5.66)","0.97 (0.03 to   28.81)","0.89 (0.08 to    9.84)","1.63 (0.05 to   50.61)","Erlotinib + Bevacizumab",".",".","."
"0.02 (0.00 to    1.65)","0.04 (0.00 to    1.88)","0.05 (0.00 to    2.90)","0.05 (0.00 to    2.26)","0.05 (0.00 to    2.79)","0.05 (0.00 to    1.65)","0.05 (0.00 to    3.89)","0.07 (0.00 to    6.96)","0.07 (0.00 to    5.82)","0.09 (0.00 to    6.89)","0.17 (0.00 to   28.97)","0.15 (0.00 to   11.89)","0.28 (0.00 to   50.03)","0.17 (0.00 to    9.56)","Gefitinib + Bevacizumab",".","."
