"Antiangiogenesis","6.34 (0.92 to  43.85)",".",".",".",".",".",".",".",".",".",".",".",".",".",".","2.25 (0.60 to   8.39)",".","."
"1.15 (0.35 to    3.77)","1st-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".","3.89 (2.30 to   6.57)",".","."
"1.01 (0.12 to    8.42)","0.87 (0.14 to    5.62)","3rd-generation EGFR TKIs + Amivantamab",".",".",".",".",".",".",".",".","2.69 (0.56 to  12.93)",".",".",".",".",".",".","."
"1.07 (0.12 to    9.39)","0.93 (0.14 to    6.31)","1.06 (0.11 to   10.26)","3rd-generation EGFR TKIs + chemotherapy",".",".",".",".",".",".",".","2.54 (0.49 to  13.08)",".",".",".",".",".",".","."
"0.78 (0.02 to   27.82)","0.68 (0.02 to   20.78)","0.77 (0.02 to   35.56)","0.73 (0.02 to   34.55)","1st-generation EGFR TKIs + ER inhibitor",".",".",".",".",".",".",".",".",".",".",".","5.06 (0.17 to 149.06)",".","."
"1.43 (0.20 to   10.13)","1.24 (0.23 to    6.59)","1.42 (0.18 to   11.18)","1.34 (0.16 to   11.13)","1.83 (0.04 to   76.89)","3rd-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".","1.89 (0.50 to   7.23)",".",".",".",".",".",".","."
"1.24 (0.03 to   55.75)","1.08 (0.03 to   42.03)","1.23 (0.02 to   70.23)","1.16 (0.02 to   68.12)","1.59 (0.01 to  226.68)","0.87 (0.02 to   45.49)","1st-generation EGFR TKIs + HGF inhibitor",".",".",".",".",".",".",".",".",".","3.18 (0.08 to 119.63)",".","."
"1.52 (0.14 to   16.58)","1.31 (0.15 to   11.44)","1.50 (0.10 to   23.18)","1.42 (0.09 to   22.77)","1.94 (0.04 to  104.02)","1.06 (0.08 to   14.40)","1.22 (0.02 to   80.64)","2nd-generation EGFR TKIs + Cetuximab",".",".",".",".",".","1.98 (0.27 to  14.33)",".",".",".",".","."
"1.63 (0.19 to   13.81)","1.42 (0.22 to    9.24)","1.62 (0.13 to   20.49)","1.53 (0.12 to   20.19)","2.09 (0.05 to   96.55)","1.14 (0.10 to   12.60)","1.31 (0.02 to   75.42)","1.08 (0.07 to   17.18)","1st-generation EGFR TKIs + IGF-1R inhibitor",".",".",".",".",".",".",".","2.42 (0.40 to  14.71)",".","."
"2.26 (0.14 to   35.67)","1.96 (0.15 to   25.44)","2.23 (0.10 to   48.79)","2.11 (0.09 to   47.73)","2.88 (0.04 to  195.13)","1.57 (0.08 to   30.77)","1.81 (0.02 to  149.63)","1.49 (0.06 to   39.40)","1.38 (0.06 to   30.46)","DHFR inhibitor",".",".",".",".",".",".","1.75 (0.14 to  21.65)",".","."
