"1st-generation EGFR TKIs + MMP inhibitor",".","0.11 (0.00 to   2.84)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.33 (0.00 to   41.27)","1st-generation EGFR TKIs + Autophagy inhibitor","0.32 (0.01 to  11.28)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.11 (0.00 to    2.84)","0.32 (0.01 to   11.28)","1st-generation EGFR TKIs","1.40 (0.15 to  12.77)","1.85 (0.05 to  64.21)","0.82 (0.33 to   2.05)","0.79 (0.33 to   1.89)","0.83 (0.35 to   1.97)","0.72 (0.30 to   1.77)","0.51 (0.16 to   1.62)","0.69 (0.31 to   1.52)","0.57 (0.05 to   7.04)","0.41 (0.07 to   2.51)",".","0.31 (0.01 to  11.82)",".","0.21 (0.01 to   6.15)","0.20 (0.01 to   5.83)",".",".","0.26 (0.15 to   0.43)","0.44 (0.12 to   1.66)"
"0.15 (0.00 to    7.81)","0.45 (0.01 to   29.71)","1.40 (0.15 to   12.77)","1st-generation EGFR TKIs + HER3 inhibitor(18mg/kg)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.20 (0.00 to   24.77)","0.60 (0.00 to   90.62)","1.85 (0.05 to   64.21)","1.32 (0.02 to   86.31)","Rociletinib(625mg)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.10 (0.00 to    2.75)","0.29 (0.01 to   10.85)","0.90 (0.44 to    1.84)","0.64 (0.06 to    6.54)","0.48 (0.01 to   18.09)","Placebo",".","0.55 (0.15 to   2.08)",".","1.02 (0.24 to   4.36)",".",".",".",".",".",".",".",".",".",".",".","."
"0.09 (0.00 to    2.63)","0.27 (0.01 to   10.34)","0.83 (0.36 to    1.93)","0.59 (0.06 to    6.32)","0.45 (0.01 to   17.23)","0.93 (0.31 to    2.80)","1st-generation EGFR TKIs + chemotherapy",".",".",".","0.61 (0.05 to   7.53)",".",".",".",".",".",".",".",".",".",".","."
"0.08 (0.00 to    2.32)","0.25 (0.01 to    9.15)","0.76 (0.38 to    1.53)","0.54 (0.05 to    5.50)","0.41 (0.01 to   15.25)","0.85 (0.36 to    1.99)","0.91 (0.31 to    2.72)","2nd-generation EGFR TKIs",".",".","0.56 (0.11 to   2.95)",".",".","0.51 (0.07 to   3.67)",".",".",".",".",".",".",".","."
"0.08 (0.00 to    2.32)","0.24 (0.01 to    9.12)","0.72 (0.30 to    1.77)","0.52 (0.05 to    5.61)","0.39 (0.01 to   15.19)","0.81 (0.26 to    2.54)","0.87 (0.26 to    2.98)","0.96 (0.31 to    2.97)","1st-generation EGFR TKIs + MET inhibitor",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.07 (0.00 to    2.17)","0.22 (0.01 to    8.55)","0.69 (0.29 to    1.61)","0.49 (0.05 to    5.24)","0.37 (0.01 to   14.26)","0.77 (0.30 to    1.98)","0.83 (0.25 to    2.72)","0.91 (0.32 to    2.58)","0.95 (0.28 to    3.25)","3rd-generation EGFR TKIs","0.67 (0.12 to   3.87)",".",".",".",".","0.53 (0.14 to   2.02)",".",".","0.39 (0.08 to   2.03)","0.37 (0.08 to   1.79)",".","."
