"Gefitinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","27.39 (6.19 to 121.26)",".",".",".",".","."
"1.24 (0.04 to    39.75)","Almonertinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","22.13 (0.96 to 508.33)",".",".",".",".","."
"7.46 (0.99 to    56.46)","6.03 (0.20 to   184.52)","Antiangiogenesis",".",".","6.34 (1.02 to  39.41)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","1.66 (0.44 to   6.29)",".","7.43 (0.29 to 193.18)",".",".",".",".","."
"5.07 (0.12 to   219.22)","4.10 (0.04 to   436.56)","0.68 (0.02 to    22.34)","Erlotinib + ER inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","5.06 (0.18 to 140.39)",".",".",".",".",".",".","."
"5.13 (0.12 to   223.24)","4.14 (0.04 to   443.98)","0.69 (0.02 to    22.76)","1.01 (0.01 to   111.83)","Erlotinib + IGF-1R inhibitor(16mg/kg)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","5.00 (0.18 to 139.84)",".",".",".",".",".",".","."
"9.63 (1.53 to    60.71)","7.78 (0.28 to   214.46)","1.29 (0.42 to     3.95)","1.90 (0.07 to    54.82)","1.88 (0.06 to    54.60)","Erlotinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","3.05 (1.81 to   5.14)",".",".",".",".",".",".","."
"9.00 (0.99 to    81.58)","7.27 (0.21 to   248.37)","1.21 (0.17 to     8.46)","1.77 (0.04 to    72.87)","1.75 (0.04 to    72.52)","0.93 (0.16 to     5.30)","Lazertinib + Amivantamab",".",".",".",".",".",".",".",".",".",".","2.16 (0.50 to   9.26)",".",".",".",".","3.22 (0.77 to  13.43)",".",".",".",".",".","."
"9.40 (0.69 to   127.96)","7.60 (0.17 to   338.93)","1.26 (0.12 to    13.04)","1.85 (0.04 to    94.25)","1.83 (0.04 to    93.77)","0.98 (0.11 to     8.43)","1.05 (0.08 to    13.64)","Afatinib + Cetuximab",".",".",".",".",".",".",".","1.98 (0.30 to  12.92)",".",".",".",".",".",".",".",".",".",".",".",".","."
"8.06 (0.15 to   434.33)","6.51 (0.05 to   830.34)","1.08 (0.03 to    44.98)","1.59 (0.01 to   208.92)","1.57 (0.01 to   207.59)","0.84 (0.02 to    30.88)","0.90 (0.02 to    45.99)","0.86 (0.01 to    53.84)","Erlotinib + HGF inhibitor",".",".",".",".",".",".",".",".",".",".",".",".","3.18 (0.09 to 113.14)",".",".",".",".",".",".","."
"10.62 (0.89 to   126.75)","8.58 (0.21 to   350.28)","1.42 (0.19 to    10.94)","2.10 (0.05 to    88.95)","2.07 (0.05 to    88.52)","1.10 (0.18 to     6.73)","1.18 (0.11 to    13.02)","1.13 (0.07 to    17.13)","1.32 (0.02 to    69.81)","Erlotinib + IGF-1R inhibitor",".",".",".",".",".",".",".",".",".",".",".","2.41 (0.43 to  13.66)",".",".",".",".",".",".","."
"10.83 (0.93 to   125.66)","8.75 (0.22 to   350.47)","1.45 (0.16 to    12.81)","2.14 (0.05 to    99.09)","2.11 (0.05 to    98.60)","1.12 (0.15 to     8.18)","1.20 (0.15 to     9.53)","1.15 (0.07 to    18.02)","1.34 (0.02 to    77.40)","1.02 (0.08 to    13.52)","Osimertinib + chemotherapy",".",".",".",".",".",".",".",".",".",".",".","2.53 (0.53 to  11.95)",".",".",".",".",".","."
"14.78 (1.50 to   145.77)","11.94 (0.33 to   430.29)","1.98 (0.27 to    14.54)","2.92 (0.07 to   122.16)","2.88 (0.07 to   121.58)","1.54 (0.26 to     9.09)","1.64 (0.25 to    10.70)","1.57 (0.12 to    21.30)","1.83 (0.04 to    95.95)","1.39 (0.12 to    15.82)","1.37 (0.18 to    10.23)","Osimertinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".","1.85 (0.51 to   6.67)",".",".",".",".",".","."
"14.62 (0.72 to   296.44)","11.81 (0.20 to   700.36)","1.96 (0.14 to    27.96)","2.88 (0.05 to   177.20)","2.85 (0.05 to   176.25)","1.52 (0.13 to    18.23)","1.63 (0.09 to    30.89)","1.56 (0.06 to    38.51)","1.81 (0.02 to   136.48)","1.38 (0.07 to    27.26)","1.35 (0.06 to    29.89)","0.99 (0.05 to    19.28)","DHFR inhibitor",".",".",".",".",".",".",".",".","1.75 (0.15 to  19.96)",".",".",".",".",".",".","."
"16.84 (2.89 to    98.00)","13.60 (0.52 to   359.00)","2.26 (0.63 to     8.04)","3.32 (0.11 to    99.65)","3.28 (0.11 to    99.23)","1.75 (0.72 to     4.23)","1.87 (0.36 to     9.66)","1.79 (0.22 to    14.72)","2.09 (0.05 to    79.88)","1.58 (0.24 to    10.37)","1.56 (0.23 to    10.39)","1.14 (0.21 to     6.13)","1.15 (0.09 to    14.56)","Chemotherapy",".","1.75 (0.36 to   8.49)",".",".",".",".","1.65 (0.14 to  18.80)","1.31 (0.53 to   3.21)","1.49 (0.29 to   7.59)","1.93 (0.44 to   8.48)",".",".",".",".","."
"18.17 (2.57 to   128.75)","14.68 (0.50 to   432.47)","2.44 (0.63 to     9.47)","3.58 (0.12 to   110.23)","3.54 (0.11 to   109.77)","1.89 (0.71 to     5.01)","2.02 (0.32 to    12.94)","1.93 (0.20 to    18.40)","2.26 (0.06 to    88.22)","1.71 (0.25 to    11.69)","1.68 (0.21 to    13.57)","1.23 (0.18 to     8.19)","1.24 (0.10 to    16.24)","1.08 (0.36 to     3.25)","Erlotinib + MET inhibitor",".",".",".",".",".",".","1.41 (0.61 to   3.24)",".",".",".",".",".",".","."
"18.59 (3.03 to   114.13)","15.02 (0.55 to   407.98)","2.49 (0.62 to    10.03)","3.67 (0.12 to   115.60)","3.62 (0.11 to   115.11)","1.93 (0.67 to     5.57)","2.07 (0.36 to    11.93)","1.98 (0.30 to    12.92)","2.31 (0.06 to    92.37)","1.75 (0.24 to    12.50)","1.72 (0.23 to    12.82)","1.26 (0.21 to     7.67)","1.27 (0.09 to    17.17)","1.10 (0.42 to     2.87)","1.02 (0.29 to     3.56)","Afatinib",".",".",".","3.19 (0.49 to  21.04)",".","1.23 (0.27 to   5.48)",".","1.48 (0.28 to   7.85)",".",".",".",".","."
