"Erlotinib + MMP inhibitor",".",".",".",".",".",".","0.11 (0.00 to   2.67)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.33 (0.00 to    37.95)","Erlotinib + Autophagy inhibitor",".",".",".",".",".","0.32 (0.01 to  10.65)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.18 (0.00 to     8.19)","0.56 (0.01 to    31.42)","Gefitinib/Erlotinib",".",".",".","0.61 (0.12 to   3.20)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.20 (0.00 to    22.78)","0.60 (0.00 to    83.59)","1.07 (0.02 to    59.42)","Rociletinib(625mg)",".",".",".","0.54 (0.02 to  17.75)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.15 (0.00 to     7.05)","0.45 (0.01 to    26.96)","0.81 (0.04 to    14.82)","0.76 (0.01 to    44.92)","Erlotinib + HER3 inhibitor(18 mg)",".",".","0.71 (0.09 to   5.94)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.11 (0.00 to     3.29)","0.35 (0.01 to    12.96)","0.62 (0.08 to     4.67)","0.58 (0.02 to    21.61)","0.76 (0.07 to     7.82)","Gefitinib",".",".",".","1.68 (0.34 to   8.28)","0.20 (0.01 to   5.53)","0.87 (0.17 to   4.57)","0.71 (0.26 to   1.99)","0.68 (0.13 to   3.58)",".","0.52 (0.12 to   2.28)",".",".",".",".",".",".",".",".",".",".","0.13 (0.01 to   3.49)","0.05 (0.00 to   1.04)","0.04 (0.01 to   0.16)"
"0.11 (0.00 to     3.45)","0.35 (0.01 to    13.55)","0.61 (0.12 to     3.20)","0.58 (0.01 to    22.58)","0.76 (0.07 to     8.37)","1.00 (0.31 to     3.23)","Osimertinib",".",".","0.98 (0.25 to   3.90)",".","0.67 (0.15 to   3.01)",".",".",".","0.67 (0.13 to   3.44)",".","0.54 (0.15 to   1.95)","0.40 (0.08 to   1.87)",".",".",".","0.31 (0.07 to   1.29)",".",".",".",".",".","."
"0.11 (0.00 to     2.67)","0.32 (0.01 to    10.65)","0.58 (0.08 to     4.24)","0.54 (0.02 to    17.75)","0.71 (0.09 to     5.94)","0.94 (0.36 to     2.45)","0.94 (0.30 to     2.89)","Erlotinib","0.98 (0.25 to   3.89)","0.60 (0.22 to   1.67)","1.17 (0.32 to   4.23)",".",".","0.82 (0.18 to   3.65)","0.71 (0.31 to   1.63)","0.76 (0.31 to   1.87)","0.57 (0.05 to   6.49)",".",".","0.41 (0.07 to   2.34)","0.31 (0.01 to  11.18)",".",".","0.33 (0.19 to   0.55)","0.20 (0.01 to   5.59)","0.20 (0.01 to   5.49)","0.60 (0.16 to   2.29)",".","."
"0.12 (0.00 to     3.68)","0.35 (0.01 to    14.42)","0.62 (0.06 to     6.46)","0.59 (0.01 to    24.03)","0.77 (0.07 to     9.14)","1.01 (0.21 to     4.79)","1.01 (0.19 to     5.32)","1.08 (0.30 to     3.86)","Erlotinib + chemotherapy",".",".",".",".",".",".","0.61 (0.05 to   6.94)",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.11 (0.00 to     2.94)","0.33 (0.01 to    11.66)","0.58 (0.08 to     4.09)","0.55 (0.02 to    19.43)","0.72 (0.08 to     6.84)","0.94 (0.36 to     2.46)","0.95 (0.33 to     2.68)","1.01 (0.47 to     2.16)","0.93 (0.22 to     4.02)","Placebo","0.87 (0.17 to   4.61)",".",".","0.31 (0.05 to   2.06)",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
