"3rd-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".",".",".",".",".","7.50 (3.42 to 16.46)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.37 (0.40 to   4.70)","3rd-generation EGFR TKIs + Amivantamab",".",".",".",".",".",".",".",".","5.47 (2.12 to 14.14)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"1.78 (0.56 to   5.70)","1.30 (0.36 to   4.67)","Antiangiogenesis","1.74 (0.50 to  6.09)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","5.48 (2.64 to 11.38)",".",".",".",".","."
"2.12 (0.79 to   5.71)","1.55 (0.50 to   4.76)","1.19 (0.58 to   2.46)","1st-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","4.88 (3.55 to  6.71)",".",".",".",".","."
"3.25 (0.85 to  12.47)","2.37 (0.56 to  10.07)","1.83 (0.56 to   5.95)","1.53 (0.56 to   4.22)","1st-generation EGFR TKIs + IGF-1R inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","3.12 (1.19 to  8.15)",".",".",".",".","."
"3.50 (0.70 to  17.44)","2.56 (0.47 to  13.86)","1.97 (0.45 to   8.57)","1.65 (0.43 to   6.30)","1.08 (0.21 to   5.43)","1st-generation EGFR TKIs + ER inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","2.89 (0.79 to 10.64)",".",".",".",".","."
"5.40 (1.96 to  14.82)","3.94 (1.26 to  12.33)","3.03 (1.30 to   7.05)","2.54 (1.42 to   4.57)","1.66 (0.56 to   4.89)","1.54 (0.38 to   6.20)","Chemotherapy",".",".",".","1.96 (0.64 to  5.96)",".","1.65 (0.18 to 15.31)",".",".",".",".","2.16 (0.76 to  6.18)",".",".",".","1.57 (0.84 to  2.91)",".",".",".",".","."
"5.02 (1.44 to  17.48)","3.66 (0.94 to  14.21)","2.81 (0.77 to  10.27)","2.36 (0.75 to   7.41)","1.54 (0.36 to   6.63)","1.43 (0.26 to   7.86)","0.93 (0.29 to   2.96)","3rd-generation EGFR TKIs + chemotherapy",".",".","1.50 (0.57 to  3.94)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"5.78 (0.52 to  64.74)","4.22 (0.36 to  50.04)","3.24 (0.32 to  33.32)","2.72 (0.29 to  25.80)","1.78 (0.16 to  20.08)","1.65 (0.13 to  21.75)","1.07 (0.11 to  10.47)","1.15 (0.10 to  13.78)","DHFR inhibitor",".",".",".",".",".",".",".",".",".",".",".",".","1.75 (0.19 to 16.24)",".",".",".",".","."
"7.40 (0.12 to 449.73)","5.40 (0.09 to 339.53)","4.15 (0.07 to 255.96)","3.49 (0.06 to 205.43)","2.27 (0.03 to 148.07)","2.11 (0.03 to 150.64)","1.37 (0.02 to  81.19)","1.48 (0.02 to  93.22)","1.28 (0.01 to 131.68)","Chemotherapy + antiangiogenesis","1.01 (0.02 to 57.10)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"7.50 (3.42 to  16.46)","5.47 (2.12 to  14.14)","4.21 (1.79 to   9.92)","3.54 (1.94 to   6.46)","2.31 (0.78 to   6.86)","2.14 (0.53 to   8.68)","1.39 (0.74 to   2.62)","1.50 (0.57 to   3.94)","1.30 (0.13 to  12.74)","1.01 (0.02 to  57.10)","3rd-generation EGFR TKIs",".",".",".",".",".",".",".",".","1.00 (0.30 to  3.26)",".","1.62 (0.87 to  3.02)","1.85 (0.20 to 17.45)",".",".",".","."
"7.52 (2.42 to  23.34)","5.48 (1.57 to  19.17)","4.22 (1.65 to  10.75)","3.54 (1.74 to   7.20)","2.31 (0.73 to   7.31)","2.15 (0.50 to   9.13)","1.39 (0.62 to   3.11)","1.50 (0.42 to   5.32)","1.30 (0.13 to  13.16)","1.02 (0.02 to  62.07)","1.00 (0.44 to   2.27)","1st-generation EGFR TKIs + MET inhibitor",".",".",".",".",".",".",".",".",".","1.35 (0.71 to  2.55)",".",".",".",".","."
"8.25 (2.83 to  23.99)","6.02 (1.82 to  19.83)","4.63 (1.96 to  10.91)","3.89 (2.13 to   7.10)","2.53 (0.85 to   7.54)","2.35 (0.58 to   9.54)","1.53 (0.76 to   3.07)","1.64 (0.49 to   5.51)","1.43 (0.15 to  14.01)","1.11 (0.02 to  66.92)","1.10 (0.53 to   2.26)","1.10 (0.48 to   2.48)","1st-generation EGFR TKIs + chemotherapy",".",".",".",".",".",".",".",".","1.25 (0.74 to  2.11)",".",".",".",".","."
"10.14 (0.16 to 634.51)","7.40 (0.11 to 478.92)","5.69 (0.10 to 338.73)","4.78 (0.08 to 271.75)","3.12 (0.05 to 196.03)","2.89 (0.04 to 199.58)","1.88 (0.03 to 108.77)","2.02 (0.03 to 131.49)","1.75 (0.02 to 174.93)","1.37 (0.00 to 418.58)","1.35 (0.02 to  78.43)","1.35 (0.02 to  79.66)","1.23 (0.02 to  71.38)","1st-generation EGFR TKIs + PARP inhibitor",".",".",".",".",".",".",".","1.00 (0.02 to 56.17)",".",".",".",".","."
"10.23 (0.16 to 665.55)","7.46 (0.11 to 502.19)","5.74 (0.09 to 357.14)","4.82 (0.08 to 286.67)","3.14 (0.05 to 206.57)","2.92 (0.04 to 210.11)","1.90 (0.03 to 113.37)","2.04 (0.03 to 137.87)","1.77 (0.02 to 183.54)","1.38 (0.00 to 434.39)","1.36 (0.02 to  82.32)","1.36 (0.02 to  84.00)","1.24 (0.02 to  75.24)","1.01 (0.00 to 310.34)","2nd-generation EGFR TKIs + HMGCR inhibitor",".",".","0.89 (0.02 to 50.89)",".",".",".",".",".",".",".",".","."
"10.23 (0.16 to 636.54)","7.47 (0.12 to 480.47)","5.74 (0.10 to 339.78)","4.82 (0.09 to 272.58)","3.15 (0.05 to 196.66)","2.92 (0.04 to 200.25)","1.90 (0.03 to 109.11)","2.04 (0.03 to 131.92)","1.77 (0.02 to 175.59)","1.38 (0.00 to 420.61)","1.36 (0.02 to  78.67)","1.36 (0.02 to  79.91)","1.24 (0.02 to  71.60)","1.01 (0.00 to 299.44)","1.00 (0.00 to 306.31)","Zorifertinib",".",".",".",".",".","0.99 (0.02 to 55.33)",".",".",".",".","."
"10.33 (0.16 to 650.94)","7.54 (0.12 to 491.29)","5.80 (0.10 to 347.53)","4.87 (0.08 to 278.84)","3.17 (0.05 to 201.11)","2.95 (0.04 to 204.72)","1.91 (0.03 to 111.60)","2.06 (0.03 to 134.88)","1.79 (0.02 to 179.33)","1.40 (0.00 to 428.58)","1.38 (0.02 to  80.47)","1.37 (0.02 to  81.73)","1.25 (0.02 to  73.23)","1.02 (0.00 to 305.13)","1.01 (0.00 to 312.12)","1.01 (0.00 to 301.06)","1st-generation EGFR TKIs + COX2 inhibitor",".",".",".",".","0.98 (0.02 to 55.54)",".",".",".",".","."
"9.11 (3.25 to  25.56)","6.65 (2.08 to  21.21)","5.11 (2.22 to  11.76)","4.29 (2.43 to   7.57)","2.80 (0.96 to   8.17)","2.60 (0.65 to  10.38)","1.69 (0.92 to   3.10)","1.82 (0.56 to   5.90)","1.58 (0.16 to  15.33)","1.23 (0.02 to  73.25)","1.21 (0.62 to   2.37)","1.21 (0.55 to   2.67)","1.10 (0.55 to   2.21)","0.90 (0.02 to  51.87)","0.89 (0.02 to  50.89)","0.89 (0.02 to  51.09)","0.88 (0.02 to  51.29)","2nd-generation EGFR TKIs","1.05 (0.36 to  3.07)","1.75 (0.62 to  4.90)",".","1.03 (0.59 to  1.82)",".",".",".",".","."
"9.60 (2.17 to  42.40)","7.00 (1.44 to  33.92)","5.38 (1.39 to  20.88)","4.52 (1.35 to  15.17)","2.95 (0.65 to  13.39)","2.74 (0.48 to  15.75)","1.78 (0.52 to   6.08)","1.91 (0.39 to   9.39)","1.66 (0.13 to  20.51)","1.30 (0.02 to  88.53)","1.28 (0.36 to   4.51)","1.28 (0.34 to   4.83)","1.16 (0.33 to   4.16)","0.95 (0.01 to  62.76)","0.94 (0.01 to  61.59)","0.94 (0.01 to  61.83)","0.93 (0.01 to  62.04)","1.05 (0.36 to   3.07)","2nd-generation EGFR TKIs + Cetuximab",".",".",".",".",".",".",".","."
"9.78 (3.50 to  27.33)","7.14 (2.24 to  22.69)","5.49 (2.30 to  13.07)","4.61 (2.49 to   8.54)","3.01 (1.00 to   9.01)","2.79 (0.68 to  11.38)","1.81 (0.91 to   3.63)","1.95 (0.60 to   6.31)","1.69 (0.17 to  16.67)","1.32 (0.02 to  78.56)","1.30 (0.67 to   2.53)","1.30 (0.57 to   2.98)","1.19 (0.57 to   2.48)","0.96 (0.02 to  56.10)","0.96 (0.02 to  57.31)","0.96 (0.02 to  55.25)","0.95 (0.02 to  55.46)","1.07 (0.58 to   2.00)","1.02 (0.30 to   3.51)","Placebo",".","1.17 (0.60 to  2.28)",".",".",".",".","."
"13.39 (0.79 to 226.15)","9.77 (0.55 to 173.36)","7.51 (0.48 to 117.92)","6.31 (0.43 to  92.48)","4.11 (0.24 to  70.04)","3.82 (0.20 to  74.27)","2.48 (0.16 to  37.35)","2.67 (0.15 to  47.70)","2.32 (0.07 to  74.67)","1.81 (0.01 to 233.45)","1.78 (0.12 to  26.96)","1.78 (0.11 to  27.62)","1.62 (0.11 to  24.54)","1.32 (0.01 to 165.46)","1.31 (0.01 to 170.21)","1.31 (0.01 to 163.13)","1.30 (0.01 to 163.41)","1.47 (0.10 to  22.04)","1.39 (0.08 to  25.64)","1.37 (0.09 to  20.75)","1st-generation EGFR TKIs + HGF inhibitor","0.76 (0.05 to 10.90)",".",".",".",".","."
"10.14 (3.97 to  25.92)","7.40 (2.52 to  21.75)","5.69 (2.86 to  11.31)","4.78 (3.49 to   6.55)","3.12 (1.19 to   8.15)","2.89 (0.79 to  10.64)","1.88 (1.15 to   3.08)","2.02 (0.67 to   6.06)","1.75 (0.19 to  16.24)","1.37 (0.02 to  79.72)","1.35 (0.81 to   2.26)","1.35 (0.71 to   2.55)","1.23 (0.74 to   2.06)","1.00 (0.02 to  56.17)","0.99 (0.02 to  58.21)","0.99 (0.02 to  55.33)","0.98 (0.02 to  55.54)","1.11 (0.69 to   1.78)","1.06 (0.33 to   3.40)","1.04 (0.61 to   1.76)","0.76 (0.05 to  10.90)","1st-generation EGFR TKIs",".","3.00 (0.11 to 84.94)","2.02 (0.35 to 11.62)","3.79 (0.99 to 14.54)","4.66 (0.88 to 24.77)"
"13.89 (1.29 to 149.69)","10.13 (0.89 to 115.81)","7.79 (0.71 to  86.09)","6.54 (0.64 to  66.82)","4.27 (0.35 to  51.72)","3.96 (0.28 to  55.79)","2.57 (0.25 to  26.51)","2.77 (0.24 to  31.91)","2.40 (0.10 to  59.05)","1.88 (0.02 to 189.21)","1.85 (0.20 to  17.45)","1.85 (0.17 to  20.13)","1.68 (0.16 to  17.80)","1.37 (0.01 to 141.77)","1.36 (0.01 to 145.45)","1.36 (0.01 to 139.74)","1.34 (0.01 to 140.04)","1.52 (0.15 to  15.85)","1.45 (0.11 to  18.98)","1.42 (0.14 to  14.73)","1.04 (0.03 to  35.15)","1.37 (0.14 to  13.69)","3rd-generation EGFR TKIs + PD-L1 inhibitor",".",".",".","."
