"1st-generation EGFR TKIs + MMP inhibitor",".",".",".",".","0.21 (0.04 to  1.14)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.81 (0.10 to   6.96)","1st-generation EGFR TKIs + Autophagy inhibitor",".",".",".","0.26 (0.07 to  1.01)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.43 (0.04 to   4.88)","0.53 (0.06 to   4.84)","1st-generation EGFR TKIs + HER3 inhibitor",".",".","0.49 (0.09 to  2.84)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.64 (0.02 to  27.07)","0.79 (0.02 to  29.07)","1.48 (0.03 to  64.56)","Rociletinib",".","0.33 (0.01 to  9.44)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.29 (0.02 to   5.06)","0.36 (0.03 to   5.20)","0.68 (0.04 to  12.20)","0.46 (0.01 to  26.44)","3rd-generation EGFR TKIs + PD-L1 inhibitor",".",".",".",".",".",".",".",".",".",".",".","0.54 (0.06 to  5.10)",".",".",".",".",".",".",".",".",".","."
"0.21 (0.04 to   1.14)","0.26 (0.07 to   1.01)","0.49 (0.09 to   2.84)","0.33 (0.01 to   9.44)","0.73 (0.07 to   7.30)","1st-generation EGFR TKIs","1.32 (0.09 to 19.00)","0.86 (0.44 to  1.67)",".","0.97 (0.55 to  1.71)","1.02 (0.02 to 57.64)","1.01 (0.02 to 56.34)",".","1.00 (0.02 to 56.17)","0.80 (0.47 to  1.35)","0.74 (0.39 to  1.40)","0.62 (0.33 to  1.15)",".","0.57 (0.06 to  5.28)",".","0.64 (0.34 to  1.18)","0.35 (0.09 to  1.27)","0.32 (0.12 to  0.84)","0.20 (0.15 to  0.28)","0.18 (0.09 to  0.38)",".","."
"0.28 (0.01 to   6.60)","0.35 (0.02 to   6.90)","0.65 (0.03 to  15.84)","0.44 (0.01 to  31.68)","0.96 (0.03 to  32.66)","1.32 (0.09 to  19.00)","1st-generation EGFR TKIs + HGF inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.21 (0.04 to   1.20)","0.25 (0.06 to   1.08)","0.48 (0.08 to   2.97)","0.32 (0.01 to   9.49)","0.70 (0.07 to   7.31)","0.96 (0.57 to   1.64)","0.73 (0.05 to  11.08)","Placebo",".","0.57 (0.20 to  1.61)",".",".",".",".",".",".","1.00 (0.31 to  3.29)",".",".",".",".",".",".",".",".",".","."
"0.20 (0.03 to   1.56)","0.25 (0.04 to   1.48)","0.47 (0.06 to   3.83)","0.32 (0.01 to  10.89)","0.69 (0.05 to   9.07)","0.95 (0.29 to   3.04)","0.72 (0.04 to  13.18)","0.98 (0.28 to   3.38)","2nd-generation EGFR TKIs + Cetuximab","0.95 (0.33 to  2.77)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.19 (0.03 to   1.10)","0.24 (0.06 to   0.99)","0.44 (0.07 to   2.72)","0.30 (0.01 to   8.76)","0.66 (0.06 to   6.82)","0.90 (0.56 to   1.44)","0.68 (0.05 to  10.21)","0.93 (0.50 to   1.74)","0.95 (0.33 to   2.77)","2nd-generation EGFR TKIs",".",".","1.12 (0.02 to 64.19)",".",".",".",".",".",".",".","0.46 (0.16 to  1.32)",".",".",".",".",".","."
