"Gefitinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","11.57 (4.40 to 30.43)",".",".",".",".",".",".",".",".",".",".",".","."
"1.67 (0.38 to    7.38)","Osimertinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","7.48 (3.45 to 16.23)",".",".",".",".",".","."
"2.10 (0.58 to    7.69)","1.26 (0.35 to    4.59)","Antiangiogenesis",".","1.74 (0.51 to  5.98)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","10.79 (1.59 to 73.39)","4.86 (2.24 to 10.52)",".",".",".",".",".",".",".",".",".",".","."
"2.02 (0.48 to    8.56)","1.21 (0.37 to    3.90)","0.96 (0.27 to    3.44)","Lazertinib + Amivantamab",".",".",".",".",".",".",".",".",".","4.37 (1.71 to 11.16)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","6.19 (2.48 to 15.45)",".",".",".",".",".","."
"2.70 (0.82 to    8.88)","1.62 (0.50 to    5.20)","1.28 (0.62 to    2.64)","1.34 (0.42 to    4.24)","Erlotinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","4.39 (3.16 to  6.11)",".",".",".",".",".",".",".",".",".",".","."
"3.00 (0.70 to   12.91)","1.79 (0.39 to    8.19)","1.42 (0.39 to    5.18)","1.48 (0.33 to    6.59)","1.11 (0.34 to    3.56)","Gefitinib + ER inhibitor",".","1.58 (0.50 to  4.99)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","3.32 (0.97 to 11.38)","4.78 (1.22 to 18.76)",".",".",".",".",".",".",".",".",".",".","."
"3.74 (0.85 to   16.53)","2.24 (0.52 to    9.71)","1.78 (0.56 to    5.69)","1.85 (0.43 to    7.94)","1.39 (0.51 to    3.76)","1.25 (0.29 to    5.42)","Erlotinib + IGF-1R inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","3.10 (1.21 to  7.98)",".",".",".",".",".",".",".",".",".",".","."
"4.73 (1.05 to   21.23)","2.83 (0.60 to   13.45)","2.25 (0.59 to    8.56)","2.34 (0.51 to   10.82)","1.75 (0.52 to    5.92)","1.58 (0.50 to    4.99)","1.26 (0.28 to    5.70)","Erlotinib + ER inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","2.10 (0.58 to  7.57)","3.03 (0.74 to 12.42)",".",".",".",".",".",".",".",".",".",".","."
"5.28 (1.21 to   22.99)","3.16 (0.65 to   15.38)","2.51 (0.62 to   10.24)","2.62 (0.56 to   12.23)","1.95 (0.53 to    7.23)","1.76 (0.37 to    8.38)","1.41 (0.29 to    6.86)","1.12 (0.23 to    5.52)","Almonertinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","2.19 (0.72 to  6.64)",".",".",".",".",".",".",".",".",".",".",".","."
"6.53 (2.02 to   21.12)","3.91 (1.30 to   11.74)","3.10 (1.32 to    7.28)","3.23 (1.08 to    9.67)","2.42 (1.28 to    4.55)","2.18 (0.66 to    7.18)","1.74 (0.59 to    5.19)","1.38 (0.40 to    4.78)","1.24 (0.34 to    4.50)","Chemotherapy",".",".",".",".",".","2.15 (0.77 to  6.04)",".","1.65 (0.18 to 15.15)",".",".",".",".",".",".","2.52 (0.72 to  8.76)","1.34 (0.66 to  2.71)",".",".",".",".","1.96 (0.66 to  5.84)",".",".",".",".",".","."
"6.62 (0.55 to   80.23)","3.97 (0.33 to   47.50)","3.15 (0.31 to   31.94)","3.28 (0.28 to   39.01)","2.45 (0.26 to   23.00)","2.21 (0.18 to   26.50)","1.77 (0.16 to   19.66)","1.40 (0.11 to   17.20)","1.25 (0.10 to   16.10)","1.01 (0.10 to    9.93)","DHFR inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".","1.75 (0.19 to 16.07)",".",".",".",".",".",".",".",".",".",".","."
"8.37 (1.71 to   40.81)","5.01 (1.47 to   17.08)","3.98 (0.97 to   16.23)","4.14 (1.13 to   15.13)","3.10 (0.85 to   11.26)","2.79 (0.55 to   14.06)","2.23 (0.47 to   10.71)","1.77 (0.34 to    9.24)","1.58 (0.30 to    8.45)","1.28 (0.37 to    4.38)","1.26 (0.10 to   16.07)","Osimertinib + chemotherapy",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","1.49 (0.58 to  3.87)",".",".",".",".",".","."
"8.55 (2.32 to   31.55)","5.12 (1.42 to   18.49)","4.07 (1.62 to   10.22)","4.24 (1.19 to   15.08)","3.16 (1.56 to    6.40)","2.86 (0.79 to   10.32)","2.28 (0.74 to    7.09)","1.81 (0.48 to    6.85)","1.62 (0.39 to    6.65)","1.31 (0.57 to    3.00)","1.29 (0.13 to   12.90)","1.02 (0.25 to    4.14)","Erlotinib + MET inhibitor",".",".",".",".",".",".",".",".",".",".",".",".","1.36 (0.73 to  2.53)",".",".",".",".",".",".",".",".",".",".","."
"8.84 (2.47 to   31.58)","5.29 (1.74 to   16.07)","4.20 (1.37 to   12.84)","4.37 (1.79 to   10.72)","3.27 (1.23 to    8.70)","2.95 (0.77 to   11.28)","2.36 (0.63 to    8.85)","1.87 (0.47 to    7.47)","1.67 (0.42 to    6.68)","1.35 (0.54 to    3.42)","1.33 (0.12 to   14.71)","1.06 (0.31 to    3.65)","1.03 (0.34 to    3.15)","Lazertinib",".",".",".",".",".",".",".",".",".",".","1.31 (0.46 to  3.68)",".",".",".",".",".","1.42 (0.55 to  3.68)",".",".",".",".",".","."
"9.28 (2.98 to   28.89)","5.56 (1.55 to   19.91)","4.41 (1.54 to   12.61)","4.59 (1.35 to   15.68)","3.43 (1.37 to    8.58)","3.10 (0.89 to   10.78)","2.48 (0.69 to    8.88)","1.96 (0.54 to    7.17)","1.76 (0.50 to    6.18)","1.42 (0.58 to    3.47)","1.40 (0.13 to   15.07)","1.11 (0.28 to    4.46)","1.08 (0.38 to    3.13)","1.05 (0.38 to    2.92)","Gefitinib + chemotherapy",".",".",".",".",".",".",".",".",".","1.25 (0.69 to  2.27)",".",".",".",".",".",".",".",".",".",".",".","."
"9.71 (2.87 to   32.84)","5.81 (1.73 to   19.50)","4.61 (1.81 to   11.79)","4.81 (1.46 to   15.84)","3.59 (1.70 to    7.59)","3.24 (0.93 to   11.26)","2.59 (0.81 to    8.27)","2.05 (0.56 to    7.49)","1.84 (0.48 to    6.98)","1.49 (0.74 to    2.97)","1.47 (0.14 to   14.84)","1.16 (0.31 to    4.39)","1.13 (0.45 to    2.84)","1.10 (0.39 to    3.06)","1.05 (0.40 to    2.71)","Afatinib","1.12 (0.02 to 63.81)",".",".",".",".",".","1.05 (0.37 to  3.00)",".","1.12 (0.31 to  4.02)","1.23 (0.40 to  3.73)",".",".","3.19 (0.65 to 15.75)",".",".",".",".",".",".",".","."
"10.90 (0.16 to  741.39)","6.52 (0.10 to  442.77)","5.18 (0.08 to  327.83)","5.40 (0.08 to  364.36)","4.03 (0.07 to  245.44)","3.64 (0.05 to  249.41)","2.91 (0.04 to  194.77)","2.31 (0.03 to  160.33)","2.06 (0.03 to  145.27)","1.67 (0.03 to  100.57)","1.65 (0.02 to  173.21)","1.30 (0.02 to   91.65)","1.27 (0.02 to   80.27)","1.23 (0.02 to   79.62)","1.17 (0.02 to   74.56)","1.12 (0.02 to   63.81)","Afatinib + HMGCR inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"9.93 (2.26 to   43.62)","5.95 (1.39 to   25.47)","4.72 (1.47 to   15.21)","4.92 (1.16 to   20.84)","3.68 (1.34 to   10.08)","3.32 (0.76 to   14.38)","2.65 (0.69 to   10.16)","2.10 (0.47 to    9.49)","1.88 (0.39 to    9.09)","1.52 (0.53 to    4.37)","1.50 (0.13 to   16.74)","1.19 (0.25 to    5.63)","1.16 (0.37 to    3.63)","1.12 (0.30 to    4.17)","1.07 (0.30 to    3.81)","1.02 (0.32 to    3.23)","0.91 (0.01 to   60.81)","Erlotinib + chemotherapy",".",".",".",".",".",".",".","1.25 (0.45 to  3.43)",".",".",".",".",".",".",".",".",".",".","."
"11.51 (0.18 to  717.15)","6.89 (0.11 to  447.21)","5.47 (0.09 to  333.25)","5.70 (0.09 to  364.52)","4.26 (0.07 to  251.13)","3.84 (0.06 to  247.20)","3.07 (0.05 to  199.49)","2.43 (0.04 to  158.94)","2.18 (0.03 to  140.63)","1.76 (0.03 to  103.44)","1.74 (0.02 to  177.94)","1.38 (0.02 to   92.61)","1.35 (0.02 to   82.18)","1.30 (0.02 to   78.78)","1.24 (0.02 to   72.02)","1.19 (0.02 to   70.54)","1.06 (0.00 to  330.34)","1.16 (0.02 to   75.04)","Furmonertinib",".",".",".",".",".","1.01 (0.02 to 55.87)",".",".",".",".",".",".",".",".",".",".",".","."
"11.57 (0.18 to  724.76)","6.93 (0.11 to  451.93)","5.50 (0.09 to  336.79)","5.73 (0.09 to  368.38)","4.28 (0.07 to  253.81)","3.86 (0.06 to  249.81)","3.09 (0.05 to  201.60)","2.45 (0.04 to  160.62)","2.19 (0.03 to  142.11)","1.77 (0.03 to  104.55)","1.75 (0.02 to  179.73)","1.38 (0.02 to   93.58)","1.35 (0.02 to   83.06)","1.31 (0.02 to   79.62)","1.25 (0.02 to   72.79)","1.19 (0.02 to   71.29)","1.06 (0.00 to  333.38)","1.17 (0.02 to   75.83)","1.01 (0.00 to  296.10)","Gefitinib + PARP inhibitor",".",".",".",".","1.00 (0.02 to 55.84)",".",".",".",".",".",".",".",".",".",".",".","."
