"Erlotinib + MMP inhibitor",".",".",".",".",".",".",".",".",".",".","0.21 (0.04 to  1.13)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.81 (0.10 to    6.80)","Erlotinib + Autophagy inhibitor",".",".",".",".",".",".",".",".",".","0.26 (0.07 to  0.99)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.43 (0.04 to    4.78)","0.53 (0.06 to    4.74)","Erlotinib + HER3 inhibitor",".",".",".",".",".",".",".",".","0.49 (0.09 to  2.80)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.64 (0.02 to   26.73)","0.79 (0.02 to   28.69)","1.48 (0.03 to   63.75)","Rociletinib",".",".",".",".",".",".",".","0.33 (0.01 to  9.37)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.37 (0.04 to    3.10)","0.45 (0.07 to    2.97)","0.84 (0.09 to    7.57)","0.57 (0.02 to   20.75)","Gefitinib/Erlotinib",".","0.63 (0.22 to  1.84)","1.01 (0.02 to 56.01)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.43 (0.02 to    7.75)","0.52 (0.03 to    7.98)","0.98 (0.05 to   18.66)","0.66 (0.01 to   39.86)","1.17 (0.10 to   13.87)","Osimertinib + PD-L1 inhibitor","0.54 (0.06 to  5.04)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.23 (0.04 to    1.46)","0.28 (0.06 to    1.34)","0.53 (0.08 to    3.61)","0.36 (0.01 to   11.10)","0.63 (0.22 to    1.84)","0.54 (0.06 to    5.04)","Osimertinib",".","1.00 (0.31 to  3.23)",".",".",".",".","0.99 (0.02 to 55.23)",".",".",".",".",".",".",".",".",".","0.71 (0.27 to  1.83)",".","0.67 (0.26 to  1.73)",".","0.51 (0.17 to  1.52)",".",".",".",".",".","0.16 (0.06 to  0.40)",".","0.13 (0.06 to  0.29)","."
"0.37 (0.00 to   34.94)","0.45 (0.01 to   38.46)","0.85 (0.01 to   82.81)","0.57 (0.00 to  126.04)","1.01 (0.02 to   56.01)","0.87 (0.01 to   96.99)","1.60 (0.03 to  102.31)","Zorifertinib",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.22 (0.04 to    1.29)","0.27 (0.06 to    1.17)","0.52 (0.08 to    3.20)","0.35 (0.01 to   10.25)","0.61 (0.16 to    2.32)","0.52 (0.05 to    5.62)","0.97 (0.44 to    2.16)","0.60 (0.01 to   41.67)","Placebo",".","0.87 (0.23 to  3.29)","1.41 (0.66 to  2.98)","0.64 (0.16 to  2.51)",".",".",".",".",".",".",".",".","0.31 (0.06 to  1.54)",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.28 (0.01 to    6.50)","0.35 (0.02 to    6.79)","0.65 (0.03 to   15.60)","0.44 (0.01 to   31.33)","0.77 (0.04 to   15.19)","0.66 (0.02 to   23.45)","1.23 (0.08 to   19.77)","0.77 (0.01 to  113.69)","1.27 (0.08 to   19.20)","Erlotinib + HGF inhibitor",".","0.76 (0.05 to 10.81)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
