"Gefitinib + Bevacizumab",".",".",".",".",".",".",".",".",".",".",".",".",".",".","77.00 (2.33 to 2547.90)","."
"7.80 (0.20 to  305.97)","Gefitinib + Apatinib",".",".",".",".",".",".",".",".",".",".",".",".",".","9.87 (3.27 to   29.76)","."
"9.04 (0.17 to  495.50)","1.16 (0.12 to   10.85)","Cabozantinib",".",".",".",".","1.74 (0.47 to    6.48)",".",".",".",".",".",".",".",".","9.70 (2.32 to   40.59)"
"9.77 (0.18 to  526.49)","1.25 (0.14 to   11.37)","1.08 (0.12 to    9.66)","Osimertinib + Bevacizumab",".",".",".",".",".",".",".",".",".","7.58 (3.34 to   17.23)",".",".","."
"10.78 (0.16 to  730.42)","1.38 (0.10 to   18.56)","1.19 (0.11 to   13.37)","1.10 (0.09 to   14.25)","Erlotinib + Sorafenib",".",".",".",".",".",".",".",".",".",".",".","8.14 (1.16 to   57.14)"
"14.61 (0.34 to  632.94)","1.87 (0.32 to   11.13)","1.62 (0.36 to    7.29)","1.49 (0.27 to    8.39)","1.36 (0.18 to   10.07)","Erlotinib + Bevacizumab",".",".",".",".",".",".",".",".",".",".","6.00 (3.74 to    9.64)"
"14.84 (0.30 to  725.84)","1.90 (0.25 to   14.43)","1.64 (0.27 to    9.82)","1.52 (0.21 to   10.95)","1.38 (0.15 to   12.74)","1.02 (0.31 to    3.28)","Erlotinib + Ramucirumab",".",".",".",".",".",".",".",".",".","5.91 (2.02 to   17.28)"
"15.72 (0.29 to  858.65)","2.02 (0.22 to   18.75)","1.74 (0.47 to    6.48)","1.61 (0.18 to   14.30)","1.46 (0.13 to   16.28)","1.08 (0.24 to    4.82)","1.06 (0.18 to    6.29)","Erlotinib + Cabozantinib",".",".",".",".",".",".",".",".","5.58 (1.35 to   23.14)"
"19.09 (0.44 to  821.66)","2.45 (0.42 to   14.34)","2.11 (0.38 to   11.87)","1.95 (0.30 to   12.69)","1.77 (0.20 to   15.60)","1.31 (0.45 to    3.83)","1.29 (0.30 to    5.45)","1.21 (0.22 to    6.78)","Vandetanib",".",".",".",".",".",".","10.79 (1.50 to   77.37)","3.49 (1.23 to    9.90)"
"23.04 (0.40 to 1335.16)","2.95 (0.29 to   30.52)","2.55 (0.25 to   25.95)","2.36 (0.26 to   21.62)","2.14 (0.15 to   30.91)","1.58 (0.24 to   10.41)","1.55 (0.19 to   12.92)","1.47 (0.14 to   14.85)","1.21 (0.16 to    9.12)","Afatinib",".",".",".",".","3.19 (0.61 to   16.78)",".","."
"45.78 (0.64 to 3287.34)","5.87 (0.40 to   86.51)","5.06 (0.41 to   62.74)","4.68 (0.33 to   66.50)","4.25 (0.25 to   72.95)","3.13 (0.37 to   26.21)","3.08 (0.30 to   31.77)","2.91 (0.24 to   35.91)","2.40 (0.24 to   23.57)","1.99 (0.13 to   31.46)","Erlotinib + Pazopanib",".",".",".",".",".","1.92 (0.24 to   15.20)"
"58.17 (1.27 to 2669.85)","7.46 (1.11 to   49.92)","6.43 (1.24 to   33.37)","5.95 (0.94 to   37.75)","5.40 (0.65 to   44.60)","3.98 (1.55 to   10.21)","3.92 (1.02 to   15.07)","3.70 (0.72 to   19.05)","3.05 (0.86 to   10.78)","2.52 (0.34 to   18.67)","1.27 (0.14 to   11.76)","Erlotinib + Sunitinib",".",".",".",".","1.51 (0.67 to    3.40)"
"64.28 (1.22 to 3378.90)","8.24 (0.95 to   71.53)","7.11 (0.83 to   60.77)","6.58 (0.86 to   50.17)","5.96 (0.48 to   74.18)","4.40 (0.83 to   23.31)","4.33 (0.63 to   29.70)","4.09 (0.48 to   34.75)","3.37 (0.55 to   20.75)","2.79 (0.32 to   24.49)","1.40 (0.10 to   19.21)","1.11 (0.18 to    6.65)","Dacomitinib",".","1.14 (0.28 to    4.65)",".","."
"74.11 (1.50 to 3665.26)","9.50 (1.23 to   73.60)","8.19 (1.07 to   62.47)","7.58 (3.34 to   17.23)","6.88 (0.61 to   77.62)","5.07 (1.11 to   23.12)","4.99 (0.83 to   30.11)","4.71 (0.62 to   35.71)","3.88 (0.72 to   20.86)","3.22 (0.41 to   25.21)","1.62 (0.13 to   20.18)","1.27 (0.24 to    6.67)","1.15 (0.18 to    7.40)","Osimertinib","0.99 (0.29 to    3.36)",".","."
"73.60 (1.81 to 2993.29)","9.43 (1.82 to   48.85)","8.14 (1.60 to   41.29)","7.53 (1.73 to   32.76)","6.83 (0.84 to   55.46)","5.04 (2.04 to   12.41)","4.96 (1.33 to   18.55)","4.68 (0.93 to   23.57)","3.85 (1.21 to   12.27)","3.19 (0.61 to   16.78)","1.61 (0.18 to   14.63)","1.27 (0.41 to    3.87)","1.14 (0.28 to    4.65)","0.99 (0.29 to    3.36)","Placebo","0.63 (0.15 to    2.60)","1.40 (0.63 to    3.13)"
"77.00 (2.33 to 2547.90)","9.87 (3.27 to   29.76)","8.51 (1.22 to   59.55)","7.88 (1.17 to   53.20)","7.14 (0.68 to   75.07)","5.27 (1.30 to   21.36)","5.19 (0.95 to   28.36)","4.90 (0.70 to   34.03)","4.03 (1.01 to   16.06)","3.34 (0.43 to   26.18)","1.68 (0.14 to   19.57)","1.32 (0.28 to    6.23)","1.20 (0.19 to    7.68)","1.04 (0.19 to    5.83)","1.05 (0.31 to    3.54)","Gefitinib","."
"87.73 (2.09 to 3689.04)","11.24 (2.02 to   62.69)","9.70 (2.32 to   40.59)","8.98 (1.71 to   47.14)","8.14 (1.16 to   57.14)","6.00 (3.74 to    9.64)","5.91 (2.02 to   17.28)","5.58 (1.35 to   23.14)","4.59 (1.75 to   12.08)","3.81 (0.61 to   23.68)","1.92 (0.24 to   15.20)","1.51 (0.67 to    3.40)","1.36 (0.28 to    6.75)","1.18 (0.28 to    5.00)","1.19 (0.55 to    2.57)","1.14 (0.31 to    4.25)","Erlotinib"
