"Erlotinib",".","0.71 (0.32 to    1.59)",".",".","0.66 (0.29 to    1.50)","0.52 (0.07 to    4.14)",".","0.29 (0.10 to    0.81)","0.18 (0.04 to    0.74)","0.17 (0.06 to    0.49)","0.17 (0.10 to    0.27)","0.12 (0.02 to    0.86)",".","0.10 (0.02 to    0.43)",".","."
"0.88 (0.24 to    3.28)","Gefitinib","1.60 (0.38 to    6.61)",".",".",".",".",".","0.09 (0.01 to    0.66)",".",".",".",".",".",".","0.10 (0.03 to    0.31)","0.01 (0.00 to    0.43)"
"0.84 (0.39 to    1.81)","0.96 (0.28 to    3.23)","Placebo","1.01 (0.30 to    3.41)","0.87 (0.21 to    3.55)",".",".","0.31 (0.06 to    1.64)",".",".",".",".",".",".",".",".","."
"0.84 (0.20 to    3.57)","0.96 (0.17 to    5.40)","1.01 (0.30 to    3.41)","Osimertinib",".",".",".",".",".",".",".",".",".","0.13 (0.06 to    0.30)",".",".","."
"0.73 (0.15 to    3.62)","0.83 (0.13 to    5.35)","0.87 (0.21 to    3.55)","0.87 (0.14 to    5.56)","Dacomitinib",".",".",".",".",".",".",".",".",".",".",".","."
"0.66 (0.29 to    1.50)","0.76 (0.16 to    3.55)","0.79 (0.26 to    2.42)","0.78 (0.15 to    4.11)","0.90 (0.15 to    5.44)","Erlotinib + Sunitinib",".",".",".",".",".",".",".",".",".",".","."
"0.52 (0.07 to    4.14)","0.59 (0.05 to    6.92)","0.62 (0.07 to    5.66)","0.62 (0.05 to    7.70)","0.71 (0.05 to    9.74)","0.79 (0.09 to    7.28)","Erlotinib + Pazopanib",".",".",".",".",".",".",".",".",".","."
"0.26 (0.04 to    1.63)","0.30 (0.04 to    2.34)","0.31 (0.06 to    1.64)","0.31 (0.04 to    2.44)","0.36 (0.04 to    3.14)","0.40 (0.05 to    2.93)","0.50 (0.03 to    7.97)","Afatinib",".",".",".",".",".",".",".",".","."
"0.22 (0.08 to    0.57)","0.25 (0.06 to    0.99)","0.26 (0.08 to    0.83)","0.26 (0.05 to    1.38)","0.30 (0.05 to    1.83)","0.33 (0.09 to    1.16)","0.42 (0.04 to    4.10)","0.83 (0.11 to    6.26)","Vandetanib",".",".",".",".",".",".",".","."
"0.18 (0.04 to    0.74)","0.20 (0.03 to    1.42)","0.21 (0.04 to    1.08)","0.21 (0.03 to    1.61)","0.24 (0.03 to    2.08)","0.27 (0.05 to    1.39)","0.34 (0.03 to    4.24)","0.68 (0.07 to    6.92)","0.82 (0.15 to    4.60)","Erlotinib + Cabozantinib",".",".",".",".","0.58 (0.15 to    2.14)",".","."
"0.17 (0.06 to    0.49)","0.19 (0.04 to    1.05)","0.20 (0.05 to    0.75)","0.20 (0.03 to    1.21)","0.23 (0.03 to    1.58)","0.26 (0.07 to    0.98)","0.32 (0.03 to    3.34)","0.64 (0.08 to    5.36)","0.78 (0.18 to    3.30)","0.94 (0.16 to    5.61)","Erlotinib + Ramucirumab",".",".",".",".",".","."
"0.17 (0.10 to    0.27)","0.19 (0.05 to    0.77)","0.20 (0.08 to    0.49)","0.20 (0.04 to    0.90)","0.23 (0.04 to    1.20)","0.25 (0.10 to    0.64)","0.32 (0.04 to    2.67)","0.63 (0.10 to    4.19)","0.77 (0.26 to    2.24)","0.93 (0.21 to    4.16)","0.98 (0.30 to    3.18)","Erlotinib + Bevacizumab",".",".",".",".","."
"0.12 (0.02 to    0.86)","0.14 (0.01 to    1.47)","0.15 (0.02 to    1.19)","0.15 (0.01 to    1.64)","0.17 (0.01 to    2.08)","0.19 (0.02 to    1.53)","0.24 (0.01 to    4.04)","0.47 (0.03 to    6.77)","0.56 (0.06 to    4.97)","0.69 (0.06 to    7.65)","0.73 (0.08 to    6.72)","0.74 (0.10 to    5.48)","Erlotinib + Sorafenib",".",".",".","."
"0.11 (0.02 to    0.59)","0.13 (0.02 to    0.86)","0.13 (0.03 to    0.58)","0.13 (0.06 to    0.30)","0.15 (0.02 to    1.16)","0.17 (0.03 to    1.07)","0.21 (0.02 to    3.03)","0.42 (0.05 to    3.89)","0.51 (0.08 to    3.33)","0.62 (0.07 to    5.53)","0.66 (0.09 to    4.75)","0.67 (0.12 to    3.75)","0.91 (0.07 to   11.72)","Osimertinib + Bevacizumab",".",".","."
"0.10 (0.02 to    0.43)","0.12 (0.02 to    0.82)","0.12 (0.02 to    0.62)","0.12 (0.02 to    0.93)","0.14 (0.02 to    1.20)","0.16 (0.03 to    0.81)","0.20 (0.02 to    2.45)","0.39 (0.04 to    4.00)","0.47 (0.08 to    2.66)","0.58 (0.15 to    2.14)","0.61 (0.10 to    3.65)","0.62 (0.14 to    2.79)","0.84 (0.07 to    9.42)","0.93 (0.10 to    8.27)","Cabozantinib",".","."
"0.09 (0.02 to    0.50)","0.10 (0.03 to    0.31)","0.11 (0.02 to    0.55)","0.11 (0.01 to    0.82)","0.12 (0.01 to    1.05)","0.13 (0.02 to    0.90)","0.17 (0.01 to    2.51)","0.34 (0.03 to    3.50)","0.41 (0.07 to    2.39)","0.50 (0.05 to    4.62)","0.53 (0.07 to    3.99)","0.53 (0.09 to    3.17)","0.72 (0.05 to    9.73)","0.80 (0.09 to    7.25)","0.86 (0.09 to    8.07)","Gefitinib + Apatinib","."
