"Erlotinib + MMP inhibitor",".",".",".",".",".",".","0.21 (0.04 to  1.13)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.81 (0.10 to   6.88)","Erlotinib + Autophagy inhibitor",".",".",".",".",".","0.26 (0.07 to  1.00)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.37 (0.04 to   3.14)","0.45 (0.07 to   3.02)","Gefitinib/Erlotinib",".","0.63 (0.21 to  1.86)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.43 (0.02 to   7.83)","0.53 (0.03 to   8.08)","1.17 (0.10 to  14.00)","Osimertinib + PD-L1 inhibitor","0.54 (0.06 to  5.07)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.23 (0.04 to   1.48)","0.28 (0.06 to   1.36)","0.63 (0.21 to   1.86)","0.54 (0.06 to   5.07)","Osimertinib","1.00 (0.31 to  3.25)",".",".",".",".",".",".",".",".","0.71 (0.27 to  1.86)",".","0.65 (0.24 to  1.76)",".","0.51 (0.17 to  1.54)",".",".",".",".",".","0.16 (0.06 to  0.41)",".","0.13 (0.06 to  0.29)","."
"0.22 (0.04 to   1.30)","0.28 (0.06 to   1.18)","0.61 (0.16 to   2.35)","0.52 (0.05 to   5.66)","0.97 (0.43 to   2.17)","Placebo","0.87 (0.23 to  3.32)","1.41 (0.66 to  3.00)","0.63 (0.16 to  2.52)",".",".",".","0.31 (0.06 to  1.56)",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.22 (0.04 to   1.36)","0.27 (0.06 to   1.24)","0.60 (0.14 to   2.61)","0.52 (0.04 to   5.98)","0.96 (0.36 to   2.57)","0.99 (0.45 to   2.15)","Dacomitinib","0.88 (0.30 to  2.55)","0.99 (0.34 to  2.88)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"0.21 (0.04 to   1.13)","0.26 (0.07 to   1.00)","0.59 (0.15 to   2.27)","0.50 (0.05 to   5.45)","0.93 (0.41 to   2.11)","0.96 (0.54 to   1.70)","0.97 (0.47 to   2.01)","Erlotinib","0.69 (0.16 to  3.06)","1.32 (0.09 to 18.92)",".","0.80 (0.29 to  2.22)","0.82 (0.27 to  2.51)",".",".","0.74 (0.39 to  1.39)",".","0.57 (0.06 to  5.25)","0.74 (0.37 to  1.51)",".","0.33 (0.08 to  1.36)","0.37 (0.13 to  1.00)","0.21 (0.05 to  0.83)","0.23 (0.16 to  0.32)",".","0.21 (0.09 to  0.45)",".","."
"0.21 (0.04 to   1.27)","0.26 (0.06 to   1.15)","0.58 (0.15 to   2.28)","0.50 (0.05 to   5.45)","0.93 (0.41 to   2.12)","0.96 (0.48 to   1.89)","0.97 (0.46 to   2.05)","1.00 (0.54 to   1.85)","Gefitinib",".",".",".","0.89 (0.25 to  3.25)","0.80 (0.44 to  1.46)","0.76 (0.27 to  2.18)",".",".",".","0.40 (0.11 to  1.39)","0.46 (0.15 to  1.40)","0.48 (0.13 to  1.73)",".","0.30 (0.09 to  1.04)",".",".","0.09 (0.01 to  0.63)",".","0.09 (0.03 to  0.23)"
"0.28 (0.01 to   6.55)","0.35 (0.02 to   6.85)","0.77 (0.04 to  15.33)","0.66 (0.02 to  23.63)","1.23 (0.08 to  19.88)","1.26 (0.08 to  19.26)","1.28 (0.08 to  20.23)","1.32 (0.09 to  18.92)","1.32 (0.09 to  20.37)","Erlotinib + HGF inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
