"3rd-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".",".",".",".",".","7.52 (3.40 to  16.64)",".",".",".",".",".",".",".",".",".",".",".","."
"1.37 (0.39 to    4.80)","3rd-generation EGFR TKIs + Amivantamab",".",".",".",".",".",".",".",".","5.47 (2.08 to  14.40)",".",".",".",".",".",".",".",".",".",".",".","."
"0.76 (0.03 to   18.25)","0.55 (0.02 to   13.93)","1st-generation EGFR TKIs + IGF-1R inhibitor(9mg/kg)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","13.49 (0.65 to 281.34)",".",".",".","."
"1.78 (0.55 to    5.80)","1.30 (0.35 to    4.77)","2.36 (0.10 to   53.21)","Antiangiogenesis","1.74 (0.49 to   6.18)",".",".",".",".",".",".",".",".",".",".",".",".",".","5.51 (2.62 to  11.56)",".",".",".","."
"2.13 (0.78 to    5.81)","1.55 (0.49 to    4.87)","2.81 (0.13 to   59.69)","1.19 (0.57 to    2.49)","1st-generation EGFR TKIs + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".","4.89 (3.54 to   6.76)",".",".",".","."
"3.53 (0.70 to   17.87)","2.57 (0.46 to   14.25)","4.66 (0.17 to  127.66)","1.98 (0.45 to    8.76)","1.66 (0.43 to    6.41)","1st-generation EGFR TKIs + ER inhibitor",".",".",".",".",".",".",".",".",".",".",".",".","2.89 (0.78 to  10.78)",".",".",".","."
"3.73 (0.92 to   15.17)","2.72 (0.60 to   12.26)","4.93 (0.20 to  121.98)","2.09 (0.60 to    7.26)","1.75 (0.60 to    5.15)","1.06 (0.20 to    5.63)","1st-generation EGFR TKIs + IGF-1R inhibitor",".",".",".",".",".",".",".",".",".",".",".","2.73 (0.98 to   7.65)",".",".",".","."
"4.90 (1.35 to   17.75)","3.56 (0.88 to   14.47)","6.47 (0.25 to  166.19)","2.75 (0.72 to   10.46)","2.30 (0.70 to    7.53)","1.39 (0.24 to    7.93)","1.31 (0.28 to    6.10)","3rd-generation EGFR TKIs + chemotherapy",".",".","1.54 (0.56 to   4.23)",".",".",".",".",".",".",".",".",".",".",".","."
"5.43 (1.95 to   15.09)","3.95 (1.23 to   12.63)","7.17 (0.33 to  155.82)","3.04 (1.29 to    7.16)","2.55 (1.41 to    4.61)","1.54 (0.38 to    6.28)","1.45 (0.46 to    4.56)","1.11 (0.33 to    3.68)","Chemotherapy",".","1.96 (0.63 to   6.06)",".","1.65 (0.18 to  15.43)","2.17 (0.75 to   6.28)",".",".",".",".","1.57 (0.84 to   2.92)",".",".",".","."
"5.82 (0.51 to   65.94)","4.23 (0.35 to   51.06)","7.69 (0.18 to  333.82)","3.26 (0.31 to   33.86)","2.73 (0.29 to   26.10)","1.65 (0.12 to   22.04)","1.56 (0.13 to   18.23)","1.19 (0.10 to   14.59)","1.07 (0.11 to   10.57)","DHFR inhibitor",".",".",".",".",".",".",".",".","1.75 (0.19 to  16.37)",".",".",".","."
"7.52 (3.40 to   16.64)","5.47 (2.08 to   14.40)","9.94 (0.46 to  216.95)","4.22 (1.76 to   10.09)","3.53 (1.91 to    6.53)","2.13 (0.52 to    8.79)","2.01 (0.63 to    6.40)","1.54 (0.56 to    4.23)","1.39 (0.73 to    2.64)","1.29 (0.13 to   12.83)","3rd-generation EGFR TKIs",".",".",".",".","1.00 (0.30 to   3.28)",".","1.85 (0.19 to  17.59)","1.64 (0.86 to   3.11)",".",".",".","."
"7.60 (2.41 to   23.96)","5.53 (1.55 to   19.78)","10.04 (0.45 to  224.14)","4.26 (1.65 to   11.00)","3.57 (1.74 to    7.32)","2.16 (0.50 to    9.32)","2.04 (0.60 to    6.85)","1.55 (0.42 to    5.75)","1.40 (0.62 to    3.16)","1.31 (0.13 to   13.35)","1.01 (0.44 to    2.32)","1st-generation EGFR TKIs + MET inhibitor",".",".",".",".",".",".","1.34 (0.71 to   2.56)",".",".",".","."
"8.29 (2.81 to   24.45)","6.03 (1.79 to   20.32)","10.95 (0.50 to  238.85)","4.65 (1.95 to   11.09)","3.89 (2.11 to    7.17)","2.35 (0.57 to    9.67)","2.22 (0.70 to    7.03)","1.69 (0.48 to    5.92)","1.53 (0.76 to    3.09)","1.42 (0.14 to   14.12)","1.10 (0.53 to    2.30)","1.09 (0.48 to    2.49)","1st-generation EGFR TKIs + chemotherapy",".",".",".",".",".","1.25 (0.74 to   2.12)",".",".",".","."
"9.17 (3.22 to   26.06)","6.67 (2.05 to   21.75)","12.12 (0.56 to  262.35)","5.14 (2.21 to   11.96)","4.31 (2.43 to    7.65)","2.60 (0.64 to   10.53)","2.46 (0.79 to    7.63)","1.87 (0.55 to    6.34)","1.69 (0.92 to    3.12)","1.58 (0.16 to   15.47)","1.22 (0.62 to    2.40)","1.21 (0.54 to    2.69)","1.11 (0.55 to    2.23)","2nd-generation EGFR TKIs","1.05 (0.36 to   3.12)","1.75 (0.62 to   4.95)",".",".","1.03 (0.58 to   1.83)",".",".",".","."
"9.66 (2.14 to   43.57)","7.03 (1.41 to   34.98)","12.76 (0.49 to  332.85)","5.41 (1.37 to   21.42)","4.54 (1.33 to   15.49)","2.74 (0.47 to   16.09)","2.59 (0.54 to   12.43)","1.97 (0.38 to   10.10)","1.78 (0.51 to    6.19)","1.66 (0.13 to   20.82)","1.28 (0.36 to    4.62)","1.27 (0.33 to    4.90)","1.17 (0.32 to    4.25)","1.05 (0.36 to    3.12)","2nd-generation EGFR TKIs + Cetuximab",".",".",".",".",".",".",".","."
"9.85 (3.48 to   27.86)","7.17 (2.21 to   23.27)","13.02 (0.60 to  284.65)","5.52 (2.30 to   13.30)","4.63 (2.48 to    8.63)","2.79 (0.68 to   11.56)","2.64 (0.83 to    8.42)","2.01 (0.60 to    6.78)","1.82 (0.90 to    3.66)","1.69 (0.17 to   16.84)","1.31 (0.67 to    2.56)","1.30 (0.56 to    2.99)","1.19 (0.56 to    2.50)","1.07 (0.57 to    2.02)","1.02 (0.29 to    3.58)","Placebo",".",".","1.16 (0.59 to   2.29)",".",".",".","."
"13.47 (0.79 to  229.94)","9.80 (0.54 to  176.50)","17.80 (0.31 to 1018.37)","7.55 (0.48 to  119.64)","6.33 (0.43 to   93.43)","3.82 (0.19 to   75.16)","3.61 (0.21 to   63.28)","2.75 (0.15 to   50.31)","2.48 (0.16 to   37.64)","2.32 (0.07 to   75.43)","1.79 (0.12 to   27.30)","1.77 (0.11 to   27.72)","1.63 (0.11 to   24.75)","1.47 (0.10 to   22.20)","1.39 (0.07 to   25.98)","1.37 (0.09 to   20.88)","1st-generation EGFR TKIs + HGF inhibitor",".","0.76 (0.05 to  10.98)",".",".",".","."
