"Gefitinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","11.61 (4.37 to  30.86)",".",".",".",".",".",".",".",".",".","."
"1.67 (0.37 to    7.50)","Osimertinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","7.49 (3.43 to  16.35)",".",".",".",".",".","."
"0.86 (0.03 to   22.09)","0.52 (0.02 to   13.08)","Erlotinib + IGF-1R inhibitor(9mg/kg)",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","13.49 (0.65 to 278.64)",".",".",".",".",".",".",".",".","."
"2.10 (0.57 to    7.77)","1.26 (0.34 to    4.63)","2.43 (0.11 to   54.25)","Antiangiogenesis",".","1.74 (0.50 to   6.04)",".",".",".",".",".",".",".",".",".",".",".",".",".",".","10.79 (1.58 to  73.86)","4.87 (2.23 to  10.65)",".",".",".",".",".",".",".",".","."
"2.03 (0.47 to    8.73)","1.21 (0.37 to    3.96)","2.35 (0.09 to   59.22)","0.96 (0.27 to    3.51)","Lazertinib + Amivantamab",".",".",".",".",".",".",".",".",".","4.37 (1.69 to  11.31)",".",".",".",".",".",".",".",".",".","6.19 (2.45 to  15.66)",".",".",".",".",".","."
"2.70 (0.81 to    8.99)","1.62 (0.50 to    5.24)","3.13 (0.15 to   65.84)","1.29 (0.62 to    2.67)","1.33 (0.42 to    4.28)","Erlotinib + antiangiogenesis",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","4.40 (3.16 to   6.14)",".",".",".",".",".",".",".",".","."
"3.00 (0.69 to   13.12)","1.80 (0.39 to    8.30)","3.48 (0.14 to   88.17)","1.43 (0.39 to    5.26)","1.48 (0.33 to    6.68)","1.11 (0.34 to    3.61)","Gefitinib + ER inhibitor",".","1.58 (0.49 to   5.04)",".",".",".",".",".",".",".",".",".",".",".","3.32 (0.96 to  11.49)","4.78 (1.21 to  18.93)",".",".",".",".",".",".",".",".","."
"4.26 (0.92 to   19.75)","2.55 (0.56 to   11.57)","4.94 (0.20 to  120.02)","2.03 (0.60 to    6.86)","2.10 (0.47 to    9.47)","1.58 (0.55 to    4.54)","1.42 (0.31 to    6.45)","Erlotinib + IGF-1R inhibitor",".",".",".",".",".",".",".",".",".",".",".",".",".","2.73 (1.00 to   7.47)",".",".",".",".",".",".",".",".","."
"4.74 (1.04 to   21.57)","2.83 (0.59 to   13.63)","5.49 (0.21 to  141.78)","2.26 (0.59 to    8.69)","2.34 (0.50 to   10.97)","1.75 (0.51 to    5.99)","1.58 (0.49 to    5.04)","1.11 (0.24 to    5.26)","Erlotinib + ER inhibitor",".",".",".",".",".",".",".",".",".",".",".","2.10 (0.58 to   7.64)","3.03 (0.73 to  12.53)",".",".",".",".",".",".",".",".","."
"5.30 (1.20 to   23.42)","3.17 (0.64 to   15.63)","6.14 (0.23 to  164.37)","2.52 (0.61 to   10.42)","2.62 (0.55 to   12.44)","1.96 (0.52 to    7.34)","1.76 (0.37 to    8.50)","1.24 (0.24 to    6.33)","1.12 (0.22 to    5.60)","Almonertinib",".",".",".",".",".",".",".",".",".",".","2.19 (0.72 to   6.71)",".",".",".",".",".",".",".",".",".","."
"6.55 (2.00 to   21.40)","3.91 (1.29 to   11.86)","7.58 (0.35 to  164.48)","3.12 (1.32 to    7.37)","3.23 (1.07 to    9.78)","2.42 (1.28 to    4.58)","2.18 (0.66 to    7.25)","1.54 (0.49 to    4.82)","1.38 (0.40 to    4.83)","1.23 (0.34 to    4.55)","Chemotherapy",".",".",".",".",".","2.16 (0.76 to   6.11)","1.65 (0.18 to  15.23)",".",".","2.52 (0.72 to   8.80)","1.34 (0.66 to   2.72)",".",".","1.96 (0.65 to   5.90)",".",".",".",".",".","."
"6.64 (0.54 to   81.24)","3.97 (0.33 to   47.97)","7.69 (0.18 to  328.67)","3.16 (0.31 to   32.31)","3.28 (0.27 to   39.39)","2.46 (0.26 to   23.19)","2.21 (0.18 to   26.73)","1.56 (0.14 to   17.83)","1.40 (0.11 to   17.35)","1.25 (0.10 to   16.25)","1.01 (0.10 to    9.99)","DHFR inhibitor",".",".",".",".",".",".",".",".",".","1.75 (0.19 to  16.16)",".",".",".",".",".",".",".",".","."
"8.19 (1.62 to   41.29)","4.89 (1.39 to   17.25)","9.48 (0.35 to  254.27)","3.90 (0.92 to   16.44)","4.04 (1.07 to   15.31)","3.03 (0.81 to   11.39)","2.73 (0.52 to   14.16)","1.92 (0.38 to    9.81)","1.73 (0.32 to    9.31)","1.54 (0.28 to    8.52)","1.25 (0.35 to    4.43)","1.23 (0.09 to   16.03)","Osimertinib + chemotherapy",".",".",".",".",".",".",".",".",".",".",".","1.53 (0.57 to   4.12)",".",".",".",".",".","."
"8.60 (2.30 to   32.14)","5.14 (1.41 to   18.77)","9.96 (0.45 to  219.65)","4.10 (1.62 to   10.39)","4.25 (1.18 to   15.34)","3.18 (1.56 to    6.48)","2.86 (0.78 to   10.46)","2.02 (0.62 to    6.61)","1.82 (0.47 to    6.94)","1.62 (0.39 to    6.76)","1.31 (0.57 to    3.03)","1.30 (0.13 to   13.03)","1.05 (0.25 to    4.39)","Erlotinib + MET inhibitor",".",".",".",".",".",".",".","1.35 (0.72 to   2.54)",".",".",".",".",".",".",".",".","."
"8.86 (2.45 to   32.13)","5.30 (1.73 to   16.27)","10.27 (0.43 to  244.17)","4.22 (1.37 to   13.05)","4.37 (1.76 to   10.85)","3.28 (1.22 to    8.82)","2.95 (0.76 to   11.43)","2.08 (0.53 to    8.20)","1.87 (0.46 to    7.57)","1.67 (0.41 to    6.77)","1.35 (0.53 to    3.45)","1.34 (0.12 to   14.85)","1.08 (0.30 to    3.88)","1.03 (0.33 to    3.18)","Lazertinib",".",".",".",".",".","1.31 (0.46 to   3.72)",".",".",".","1.42 (0.54 to   3.72)",".",".",".",".",".","."
"9.30 (2.95 to   29.31)","5.56 (1.53 to   20.14)","10.77 (0.46 to  251.18)","4.43 (1.54 to   12.77)","4.59 (1.33 to   15.89)","3.44 (1.37 to    8.66)","3.10 (0.88 to   10.90)","2.18 (0.58 to    8.22)","1.96 (0.53 to    7.24)","1.75 (0.49 to    6.25)","1.42 (0.58 to    3.50)","1.40 (0.13 to   15.18)","1.14 (0.27 to    4.72)","1.08 (0.37 to    3.15)","1.05 (0.37 to    2.95)","Gefitinib + chemotherapy",".",".",".",".","1.25 (0.68 to   2.28)",".",".",".",".",".",".",".",".",".","."
"9.73 (2.84 to   33.32)","5.81 (1.72 to   19.71)","11.26 (0.51 to  250.99)","4.63 (1.80 to   11.94)","4.80 (1.44 to   16.04)","3.60 (1.69 to    7.66)","3.24 (0.92 to   11.37)","2.28 (0.68 to    7.68)","2.05 (0.56 to    7.56)","1.84 (0.48 to    7.05)","1.49 (0.74 to    2.98)","1.47 (0.14 to   14.95)","1.19 (0.30 to    4.65)","1.13 (0.45 to    2.86)","1.10 (0.39 to    3.08)","1.05 (0.40 to    2.73)","Afatinib",".","1.05 (0.37 to   3.04)",".","1.12 (0.31 to   4.06)","1.23 (0.40 to   3.77)",".","3.19 (0.64 to  15.87)",".",".",".",".",".",".","."
"9.95 (2.24 to   44.25)","5.95 (1.37 to   25.75)","11.52 (0.48 to  276.34)","4.74 (1.46 to   15.40)","4.91 (1.14 to   21.09)","3.68 (1.33 to   10.17)","3.31 (0.76 to   14.52)","2.33 (0.58 to    9.38)","2.10 (0.46 to    9.58)","1.88 (0.38 to    9.19)","1.52 (0.53 to    4.40)","1.50 (0.13 to   16.85)","1.22 (0.25 to    5.94)","1.16 (0.37 to    3.65)","1.12 (0.30 to    4.21)","1.07 (0.30 to    3.84)","1.02 (0.32 to    3.26)","Erlotinib + chemotherapy",".",".",".","1.25 (0.45 to   3.46)",".",".",".",".",".",".",".",".","."
"10.25 (2.02 to   51.96)","6.12 (1.22 to   30.82)","11.87 (0.45 to  315.11)","4.88 (1.18 to   20.19)","5.06 (1.02 to   25.17)","3.79 (1.03 to   13.91)","3.41 (0.66 to   17.63)","2.40 (0.48 to   12.03)","2.16 (0.40 to   11.59)","1.93 (0.35 to   10.72)","1.57 (0.44 to    5.56)","1.54 (0.12 to   19.81)","1.25 (0.22 to    7.03)","1.19 (0.29 to    4.86)","1.16 (0.26 to    5.07)","1.10 (0.26 to    4.60)","1.05 (0.37 to    3.04)","1.03 (0.21 to    4.95)","Afatinib + Cetuximab",".",".",".",".",".",".",".",".",".",".",".","."
